Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Robert Lewandowski,FC Bayern München,Mittelstürmer,33.0,30.0,10.0,3.0,22.0,Polen,3129.0,51.0,NULL,NULL,NULL,NULL,9.0,84.0,25.0,NULL,51.0,83.0,NULL,NULL,NULL,14.0,14.0,NULL,NULL,54.0,130.0,NULL,570.0,737.0,144.0,9.0,21.0,38.0,165.0,356.0,65.0
Paco Alcácer,Borussia Dortmund,Mittelstürmer,26.0,25.0,0.0,1.0,18.0,Spanien,1338.0,28.0,NULL,NULL,NULL,NULL,NULL,17.0,NULL,NULL,6.0,10.0,NULL,NULL,NULL,NULL,2.0,NULL,NULL,12.0,45.0,NULL,213.0,288.0,52.0,NULL,NULL,15.0,28.0,88.0,37.0
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,29.0,11.0,3.0,17.0,Deutschland,2463.0,34.0,8.0,NULL,NULL,NULL,24.0,76.0,34.0,NULL,25.0,63.0,NULL,NULL,NULL,31.0,11.0,NULL,NULL,19.0,45.0,NULL,847.0,1057.0,70.0,24.0,56.0,37.0,108.0,264.0,50.0
Wout Weghorst,VfL Wolfsburg,Mittelstürmer,34.0,26.0,7.0,4.0,17.0,Niederlande,3098.0,35.0,8.0,NULL,NULL,NULL,22.0,60.0,37.0,NULL,14.0,27.0,NULL,NULL,NULL,32.0,7.0,NULL,NULL,114.0,211.0,NULL,569.0,819.0,73.0,22.0,57.0,32.0,195.0,415.0,20.0
Luka Jovic,Eintracht Frankfurt,Mittelstürmer,32.0,21.0,6.0,1.0,17.0,Serbien,2382.0,43.0,NULL,NULL,NULL,NULL,NULL,75.0,29.0,NULL,26.0,56.0,NULL,NULL,NULL,30.0,6.0,NULL,NULL,62.0,143.0,NULL,426.0,616.0,97.0,5.0,21.0,25.0,141.0,332.0,60.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,19.0,4.0,3.0,17.0,Deutschland,3075.0,42.0,16.0,NULL,NULL,NULL,17.0,114.0,24.0,NULL,44.0,88.0,NULL,NULL,NULL,26.0,4.0,NULL,NULL,55.0,117.0,NULL,1571.0,1821.0,87.0,17.0,50.0,34.0,179.0,396.0,90.0
Andrej Kramaric,TSG 1899 Hoffenheim,Mittelstürmer,30.0,27.0,4.0,5.0,17.0,Kroatien,2548.0,44.0,9.0,NULL,NULL,NULL,NULL,74.0,7.0,NULL,28.0,53.0,NULL,NULL,NULL,12.0,7.0,NULL,NULL,9.0,29.0,NULL,814.0,1067.0,110.0,4.0,33.0,45.0,65.0,188.0,38.0
Timo Werner,RasenBallsport Leipzig,Mittelstürmer,30.0,23.0,9.0,0.0,16.0,Deutschland,2605.0,40.0,NULL,NULL,NULL,NULL,12.0,100.0,24.0,NULL,29.0,92.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,8.0,41.0,NULL,610.0,851.0,107.0,12.0,30.0,33.0,91.0,259.0,65.0
Ishak Belfodil,TSG 1899 Hoffenheim,Mittelstürmer,28.0,27.0,5.0,0.0,16.0,Algerien & Frankreich,1982.0,36.0,NULL,NULL,NULL,NULL,10.0,51.0,25.0,NULL,37.0,56.0,NULL,NULL,NULL,13.0,5.0,NULL,NULL,48.0,100.0,NULL,323.0,459.0,88.0,10.0,25.0,25.0,113.0,253.0,15.0
Sébastien Haller,Eintracht Frankfurt,Mittelstürmer,29.0,24.0,9.0,3.0,15.0,Frankreich & Elfenbeinküste,2353.0,26.0,12.0,NULL,NULL,NULL,11.0,71.0,42.0,NULL,24.0,48.0,NULL,NULL,NULL,23.0,9.0,NULL,NULL,195.0,332.0,NULL,501.0,793.0,54.0,11.0,36.0,32.0,285.0,546.0,40.0
