Name,Verein,Tore,Vorlagen,ShotOnTarget/3,TorschussVorlagen/3,SuccessfulDribblings/TotalDribblings*10,PassCompleted/TotalPass*10,Rating
"Denis Zakaria","B. Mönchengladbach",4,1,4.666666666666667,5.333333333333333,4.838709677419355,8.209150326797385,28.04786000421674
"Axel Witsel","Borussia Dortmund",4,1,3.6666666666666665,5,7.142857142857143,9.296939619520264,30.106463429044076
"Rani Khedira","FC Augsburg",4,1,1.6666666666666667,2.3333333333333335,NULL,8.170926517571885,NULL
"Nabil Bentaleb","FC Schalke 04",3,1,2.3333333333333335,5,6.8965517241379315,7.714285714285714,25.94417077175698
"Javi Martínez","FC Bayern München",3,0,NULL,NULL,NULL,NULL,NULL
"Elvis Rexhbecaj","VfL Wolfsburg",2,2,1.3333333333333333,2.6666666666666665,5,6.947115384615384,19.947115384615383
"Josuha Guilavogui","VfL Wolfsburg",2,1,1.6666666666666667,2.6666666666666665,8,8.134328358208956,23.46766169154229
"Christoph Kramer","B. Mönchengladbach",2,1,1,2.6666666666666665,5.625,8.845108695652174,21.13677536231884
"Jean-Philippe Gbamin","1. FSV Mainz 05",2,1,2.3333333333333335,6.666666666666667,4.722222222222222,7.920937042459737,24.64315926468196
Walace,"Hannover 96",1,1,2,4,5.227272727272727,8.49442379182156,21.721696519094287
