Name,Verein,AbgefangeneBaelle/4,PassCompleted*10,GewonneneZweikaempfe/GesamteZweikaempfe*10,GewonneneLuftkaempfe/GesamteLuftkaempfe*10,GeklaerteBaelle/10,SuccessfulTackles/TotalTackles*10,Rating
"Willi Orban","RB Leipzig",9.25,7830,6.312292358803987,6.132596685082873,13.9,4.193548387096774,7869.788437430983
"Kaan Ayhan","Fortuna Düsseldorf",15.75,12620,6.028708133971293,5.915492957746479,11.4,4.025974025974026,12663.120175117692
"Ozan Kabak","VfB Stuttgart",5.75,4320,6.3841807909604515,6.666666666666666,5.3,4.4186046511627906,4348.519452108791
"Martin Hinteregger","Eintracht Frankfurt",9.75,10780,6.289855072463768,6.402439024390244,11.5,5.648148148148148,10819.590442245002
"John Anthony Brooks","VfL Wolfsburg",10,14900,6.382978723404255,7.254901960784314,13.1,3.4090909090909087,14940.14697159328
"Robin Knoche","VfL Wolfsburg",10.5,17520,5.852534562211982,5.661764705882353,13.5,5.128205128205128,17560.6425043963
"Jonathan Tah","Bayer 04 Leverkusen",11.5,22370,6.550218340611353,6.972477064220184,13.7,5.172413793103448,22413.895109197936
"Matthias Ginter","B. Mönchengladbach",4.75,15350,5.966850828729282,6.036036036036037,9.7,4.242424242424242,15380.695311107189
"Dan-Axel Zagadou","Borussia Dortmund",6.25,9180,6.608695652173912,6.956521739130435,6.9,7.142857142857143,9213.85807453416
"Niklas Süle","FC Bayern München",10.5,23850,6.842105263157895,7.6923076923076925,8.2,6.571428571428571,23889.805841526893
