Name,Verein,Position,Tore*4,Vorlagen*3,ShotOnTarget,TorschussVorlagen*0.5,Rating
"Jadon Sancho","Borussia Dortmund","Linke Außenbahn",48,51,22,30.5,151.5
"Serge Gnabry","FC Bayern München","Linke Außenbahn",40,21,32,13,106
"Salomon Kalou","Hertha BSC","Linke Außenbahn",32,9,17,14,72
"Vincenzo Grifo","SC Freiburg","Linke Außenbahn",28,18,17,22.5,85.5
"Julian Brandt","Bayer 04 Leverkusen","Linke Außenbahn",28,42,25,42.5,137.5
"Kingsley Coman","FC Bayern München","Linke Außenbahn",24,15,19,14,72
"Franck Ribéry","FC Bayern München","Linke Außenbahn",24,12,11,10.5,57.5
"Filip Kostic","Eintracht Frankfurt","Linke Außenbahn",24,33,18,22.5,97.5
"Leon Bailey","Bayer 04 Leverkusen","Linke Außenbahn",20,6,17,22.5,65.5
"Steven Zuber","VfB Stuttgart","Linke Außenbahn",20,6,13,8.5,47.5
