Name,Verein,AbgefangeneBaelle/4,PassCompleted*10,GewonneneZweikaempfe/GesamteZweikaempfe*10,GewonneneLuftkaempfe/GesamteLuftkaempfe*10,GeklaerteBaelle/10,SuccessfulTackles/TotalTackles*10,Rating
"Philipp Max","FC Augsburg",5.5,8410,4.943820224719101,3.870967741935484,3.9,4.8076923076923075,8433.022480274345
"David Alaba","FC Bayern München",8,17660,5.766871165644172,5.5813953488372094,3,5,17687.34826651448
"Marcel Halstenberg","RB Leipzig",9.5,11530,6.03225806451613,6.60377358490566,5.3,4.777777777777778,11562.2138094272
"Jérôme Roussillon","VfL Wolfsburg",7.75,10200,5.292096219931271,4.509803921568627,3.7,5.370370370370371,10226.62227051187
"Raphaël Guerreiro","Borussia Dortmund",4.75,9560,4.940476190476191,2.307692307692308,NULL,3.333333333333333,NULL
Wendell,"Bayer 04 Leverkusen",7,16160,5.4,5,5.7,4.8979591836734695,16187.997959183675
"Emiliano Insúa","VfB Stuttgart",8,9910,5.291479820627803,4.313725490196079,4.5,5.147058823529411,9937.252264134353
"Maximilian Mittelstädt","Hertha BSC",11.25,6500,5.856573705179283,6.363636363636363,5.1,4.3023255813953485,6532.872535650211
"Nico Schulz","TSG 1899 Hoffenheim",6.25,11660,4.253731343283582,3.333333333333333,2.9,3.7037037037037033,11680.440768380322
"Miiko Albornoz","Hannover 96",4,7160,4.4495412844036695,2.5806451612903225,3.1,3.6619718309859155,7177.79215827668
