Name,Position,Value
"Stefan Ilsanker","Mittelfeld",4.5
Walace,"Mittelfeld",8.5
"Jean-Philippe Gbamin","Mittelfeld",28
"Javi Martínez","Mittelfeld",27
"Julian Weigl","Mittelfeld",25
"Axel Witsel","Mittelfeld",32
"Omar Mascarell","Mittelfeld",8
"Arne Maier","Mittelfeld",24
"Lars Bender","Mittelfeld",9
"Nicolas Höfler","Mittelfeld",4
"Danny Latza","Mittelfeld",4
"Sebastian Rudy","Mittelfeld",9
"Rani Khedira","Mittelfeld",10
"Tobias Strobl","Mittelfeld",7
"Diego Demme","Mittelfeld",17
"Christoph Kramer","Mittelfeld",10
"Josuha Guilavogui","Mittelfeld",12
"Denis Zakaria","Mittelfeld",20
"Salif Sané",Verteidiger,12
"Willi Orban",Verteidiger,20
"Matija Nastasic",Verteidiger,18
"Niklas Süle",Verteidiger,60
"Marc Oliver Kempf",Verteidiger,6
"Benjamin Stambouli",Verteidiger,10
"Martin Hinteregger",Verteidiger,16
"Robin Koch",Verteidiger,10
"Karim Rekik",Verteidiger,15
"Niklas Stark",Verteidiger,20
"Stefan Posch",Verteidiger,5.5
"Jérôme Boateng",Verteidiger,20
"Dominique Heintz",Verteidiger,7.5
"Tin Jedvaj",Verteidiger,7.5
"Ozan Kabak",Verteidiger,15
"Ibrahima Konaté",Verteidiger,45
"Robin Knoche",Verteidiger,8
"John Anthony Brooks",Verteidiger,15
"Manuel Akanji",Verteidiger,40
"Kevin Danso",Verteidiger,8
"Milos Veljkovic",Verteidiger,8
"Moussa Niakhaté",Verteidiger,14
"Jordan Torunarigha",Verteidiger,10
"Waldemar Anton",Verteidiger,12
"Evan N'Dicka",Verteidiger,25
"Dan-Axel Zagadou",Verteidiger,28
"Marcel Tisserand",Verteidiger,4.5
"Nico Elvedi",Verteidiger,30
"Lukas Mühl",Verteidiger,4.5
"Kaan Ayhan",Verteidiger,9
"Benjamin Pavard",Verteidiger,30
"Aleksandar Dragovic",Verteidiger,9
"Kevin Wimmer",Verteidiger,4
"Timo Baumgartl",Verteidiger,9
"Matthias Ginter",Verteidiger,35
"Sven Bender",Verteidiger,9
"Abdou Diallo",Verteidiger,35
"Mats Hummels",Verteidiger,35
"Manuel Gulde",Verteidiger,4
"Ermin Bicakcic",Verteidiger,4
"Kevin Vogt",Verteidiger,12
"Jonathan Tah",Verteidiger,40
"Jeffrey Gouweleeuw",Verteidiger,12
"Bastian Oczipka","Verteidiger",4
"Nico Schulz","Verteidiger",25
"Marcel Halstenberg","Verteidiger",22
"Ludwig Augustinsson","Verteidiger",12
"Marvin Plattenhardt","Verteidiger",10
"David Alaba","Verteidiger",55
Wendell,"Verteidiger",20
"Maximilian Mittelstädt","Verteidiger",11
"Philipp Max","Verteidiger",17
"Jérôme Roussillon","Verteidiger",20
"Raphaël Guerreiro","Mittelfeld",25
"Filip Kostic","Mittelfeld",22
"Steven Zuber","Mittelfeld",7
"Franck Ribéry",Angriff,4
"Milot Rashica",Angriff,20
"Alphonso Davies",Angriff,10
"Yevhen Konoplianka",Angriff,6.5
"Benito Raman",Angriff,12
"Marco Richter",Angriff,7
"Thorgan Hazard",Angriff,38
Bruma,Angriff,10
"Jacob Bruun Larsen",Angriff,15
"Javairô Dilrosun",Angriff,12
"Leon Bailey",Angriff,40
"Roland Sallai",Angriff,4.5
"Julian Brandt",Angriff,50
"Vincenzo Grifo",Angriff,9
"Kingsley Coman",Angriff,50
"Josip Brekalo",Angriff,10
"Emil Forsberg",Angriff,25
"Niko Gießelmann",Verteidiger,4
"Christian Günter",Verteidiger,9
"Anastasios Donis",Angriff,4
"Robert Lewandowski",Angriff,65
"Nicólas González",Angriff,6.5
"Alassane Plea",Angriff,30
"Luka Jovic",Angriff,60
"Mikael Ishak",Angriff,4
"Dawid Kownacki",Angriff,9
"Timo Werner",Angriff,65
"Wout Weghorst",Angriff,20
"Yuya Osako",Angriff,5
"Paco Alcácer",Angriff,37
"Breel Embolo",Angriff,14
"Andrej Kramaric",Angriff,38
"Davie Selke",Angriff,18
"Max Kruse",Angriff,12
"Ahmed Kutucu",Angriff,4.5
"Niclas Füllkrug",Angriff,8
"Ishak Belfodil",Angriff,15
"Alfred Finnbogason",Angriff,15
"Luca Waldschmidt",Angriff,12
"Daniel Ginczek",Angriff,12
"Nils Petersen",Angriff,8
"Sébastien Haller",Angriff,40
"Mark Uth",Angriff,12
"Yussuf Poulsen",Angriff,35
"Kevin Volland",Angriff,30
"Matheus Cunha",Angriff,15
