Name,Position,Value
"Franck Ribéry",Linksaußen,4
"Anastasios Donis",Mittelstürmer,4
"Mikael Ishak",Mittelstürmer,4
"Arjen Robben",Rechtsaußen,4
"Kevin Möhwald","Offensives Mittelfeld",4
"Daniel Didavi","Offensives Mittelfeld",4
"Josh Sargent",Mittelstürmer,4
"Bastian Oczipka","Linker Verteidiger",4
"Ermin Bicakcic",Innenverteidiger,4
"Manuel Gulde",Innenverteidiger,4
"Pascal Stenzel",Rechtsverteidiger,4
"Dominik Kohr","Zentrales Mittelfeld",4
"Danny Latza","Defensives Mittelfeld",4
"Niko Gießelmann",Linksverteidiger,4
"Nicolas Höfler","Defensives Mittelfeld",4
"Kevin Wimmer",Innenverteidiger,4
"Timothy Chandler",NULL,4
"Hamza Mendyl",NULL,4
"Simon Falette",NULL,4
"Philipp Lienhart",NULL,4
"Emile Smith Rowe",NULL,4
"Borna Sosa",NULL,4
"Reece Oxford",NULL,4
"Vladimir Darida",NULL,4
"Patrick Herrmann",Rechtsaußen,4.5
"Joshua Brenet","Rechter Verteidiger",4.5
"Ahmed Kutucu",Mittelstürmer,4.5
"Roland Sallai",Linksaußen,4.5
"Lukas Mühl",Innenverteidiger,4.5
"Michael Lang","Rechter Verteidiger",4.5
"Marcel Tisserand",Innenverteidiger,4.5
"Stefan Ilsanker","Defensives Mittelfeld",4.5
"Sven Ulreich",Torhüter,4.5
"Ron-Robert Zieler",Torhüter,4.5
"Pablo Maffeo",NULL,4.5
"Renato Steffen",Rechtsaußen,5
"Jonathan Schmid","Rechter Verteidiger",5
"Yuya Osako",Mittelstürmer,5
"Kevin Stöger","Offensives Mittelfeld",5
"Matthias Zimmermann","Rechter Verteidiger",5
"Yunus Malli","Offensives Mittelfeld",5
"Alessandro Schöpf","Rechtes Mittelfeld",5
"Ralf Fährmann",Torhüter,5
"Jetro Willems",NULL,5
"Ömer Toprak",NULL,5
"Michaël Cuisance",NULL,5
"Guido Burgstaller",Mittelstürmer,5.5
"Matheus Pereira",Rechtsaußen,5.5
"Stefan Posch",Innenverteidiger,5.5
"Jean-Paul Boëtius","Offensives Mittelfeld",6
"Gonçalo Paciência",Mittelstürmer,6
"Marc Oliver Kempf",Innenverteidiger,6
"Gregor Kobel",Torhüter,6
"Lucas Torró",NULL,6
"Daniel Caligiuri","Rechtes Mittelfeld",6.5
"Nicólas González",Mittelstürmer,6.5
"Yevhen Konoplianka",Linksaußen,6.5
"Almamy Touré",NULL,6.5
"Kevin Akpoguma",NULL,6.5
"Steven Zuber","Linkes Mittelfeld",7
"Marco Richter",Linksaußen,7
"Eduard Löwen","Zentrales Mittelfeld",7
William,"Rechter Verteidiger",7
"Leonardo Bittencourt","Offensives Mittelfeld",7
"Linton Maina","Rechtes Mittelfeld",7
"Tobias Strobl","Defensives Mittelfeld",7
"Benjamin Hübner",NULL,7
"Kasim Adams",NULL,7
"Dominique Heintz",Innenverteidiger,7.5
"Tin Jedvaj",Innenverteidiger,7.5
"Nils Petersen",Mittelstürmer,8
"Robin Quaison","Hängende Spitze",8
"Robin Knoche",Innenverteidiger,8
"Elvis Rexhbecaj","Zentrales Mittelfeld",8
"Niclas Füllkrug",Mittelstürmer,8
"Kevin Danso",Innenverteidiger,8
"Milos Veljkovic",Innenverteidiger,8
"Marius Wolf",Rechtsaußen,8
"Omar Mascarell","Defensives Mittelfeld",8
"Oliver Baumann",Torhüter,8
"Lukas Hradecky",NULL,8
Walace,"Defensives Mittelfeld",8.5
"Dennis Geiger",NULL,8.5
"Vincenzo Grifo",Linksaußen,9
"Jonas Hofmann","Zentrales Mittelfeld",9
"Kaan Ayhan",Innenverteidiger,9
"Dawid Kownacki",Mittelstürmer,9
"Aleksandar Dragovic",Innenverteidiger,9
