Name,Verein,Tore,Vorlagen,ShotOnTarget/3,TorschussVorlagen/3,SuccessfulDribblings/TotalDribblings*10,PassCompleted/TotalPass*10,Rating
"Marco Reus","Borussia Dortmund",17,11,11.333333333333334,12.333333333333334,3.968253968253968,8.013245033112582,63.64816566803322
"Kai Havertz","Bayer 04 Leverkusen",17,4,14,11.333333333333334,5,8.627127951674904,59.960461285008236
"Ondrej Duda","Hertha BSC",11,6,6.666666666666667,13,5.967741935483871,7.505919494869771,50.140328097020316
"Mario Götze","Borussia Dortmund",7,7,5.333333333333333,13,4.5,8,44.83333333333333
"James Rodríguez","FC Bayern München",7,4,NULL,NULL,NULL,NULL,NULL
"Michael Gregoritsch","FC Augsburg",6,2,8.333333333333334,8.333333333333334,3.7142857142857144,7.088744588744589,35.469696969696976
"Daniel Didavi","VfB Stuttgart",2,2,3.3333333333333335,9.333333333333334,6.470588235294118,7.071583514099783,30.20883841606057
"Ja-cheol Koo","FC Augsburg",2,1,2.6666666666666665,7,5.6000000000000005,8.028616852146264,26.29528351881293
"Florent Muslija","Hannover 96",2,0,NULL,NULL,NULL,NULL,NULL
"Kevin Stöger","Fortuna Düsseldorf",1,7,3.3333333333333335,18,6.222222222222222,8.228021978021978,43.783577533577535
