Name,Verein,Position,Tore*4,Vorlagen*3,ShotOnTarget,TorschussVorlagen*0.5,Rating
"Dodi Lukebakio","Fortuna Düsseldorf","Rechte Außenbahn",40,12,31,9.5,92.5
"Benito Raman","Fortuna Düsseldorf","Rechte Außenbahn",40,12,26,10.5,88.5
"Thorgan Hazard","B. Mönchengladbach","Rechte Außenbahn",40,33,26,35.5,134.5
"Karim Onisiwo","1. FSV Mainz 05","Rechte Außenbahn",28,9,17,9.5,63.5
"Thomas Müller","FC Bayern München","Rechte Außenbahn",24,36,27,27.5,114.5
"Karim Bellarabi","Bayer 04 Leverkusen","Rechte Außenbahn",20,15,11,12.5,58.5
"Nicolai Müller","Hannover 96","Rechte Außenbahn",20,0,10,6,36
"Renato Steffen","VfL Wolfsburg","Rechte Außenbahn",20,3,8,7,38
"Ihlas Bebou","Hannover 96","Rechte Außenbahn",16,9,13,7.5,45.5
"Christian Pulisic","Borussia Dortmund","Rechte Außenbahn",16,12,10,8,46
