Name,Verein,AbgefangeneBaelle/4,PassCompleted*10,GewonneneZweikaempfe/GesamteZweikaempfe*10,GewonneneLuftkaempfe/GesamteLuftkaempfe*10,GeklaerteBaelle/10,SuccessfulTackles/TotalTackles*10,Rating
"Daniel Caligiuri","FC Schalke 04",12,10980,5.191011235955056,5.064935064935065,6.4,3.5714285714285716,11012.227374872318
"Lukas Klostermann","RB Leipzig",7.25,7530,5.8730158730158735,6.142857142857143,6.2,4.393939393939394,7559.859812409812
"Theodor Gebre Selassie","SV Werder Bremen",17,13520,5.25065963060686,5.58011049723757,8.7,4.6913580246913575,13561.222128152536
"Daniel Brosinski","1. FSV Mainz 05",7.5,9460,4.3624161073825505,3.877551020408163,4.4,3.8095238095238093,9483.949490937313
"Joshua Kimmich","FC Bayern München",9.25,25800,5.482758620689655,5.217391304347826,3.3,3.6486486486486487,25826.898798573686
"Achraf Hakimi","Borussia Dortmund",7,13400,5.37117903930131,4.375,3.9,3.584905660377358,13424.231084699677
William,"VfL Wolfsburg",21.5,13080,5.2835820895522385,5.6976744186046515,11.4,4.710743801652892,13128.59200030981
"Danny da Costa","Eintracht Frankfurt",7.5,8470,4.707602339181286,5,5.5,4.186046511627907,8496.89364885081
"Lars Bender","Bayer 04 Leverkusen",5.5,7680,5.643564356435643,4.929577464788732,2.3,5.357142857142857,7703.730284678368
"Mitchell Weiser","Bayer 04 Leverkusen",6.75,12670,4.758842443729904,3.1818181818181817,3.9,4.25287356321839,12692.843534188765
