Name,Verein,Position,Tore*4,Vorlagen*3,ShotOnTarget,TorschussVorlagen*0.5,Rating
"Robert Lewandowski","FC Bayern München",Stürmer,88,30,51,19,188
"Paco Alcácer","Borussia Dortmund",Stürmer,72,0,28,7.5,107.5
"Luka Jovic","Eintracht Frankfurt",Stürmer,68,18,43,12.5,141.5
"Andrej Kramaric","TSG 1899 Hoffenheim",Stürmer,68,12,44,22.5,146.5
"Wout Weghorst","VfL Wolfsburg",Stürmer,68,21,35,16,140
"Ishak Belfodil","TSG 1899 Hoffenheim",Stürmer,64,15,36,12.5,127.5
"Timo Werner","RB Leipzig",Stürmer,64,27,40,16.5,147.5
"Sébastien Haller","Eintracht Frankfurt",Stürmer,60,27,26,16,129
"Yussuf Poulsen","RB Leipzig",Stürmer,60,12,27,15.5,114.5
"Kevin Volland","Bayer 04 Leverkusen",Stürmer,56,36,45,19,156
