Name Verein Position Einsatz SpielMinuten "Abgefangene Baelle"
"Alexander Hack" "1. FSV Mainz 05" Innenverteidiger 14 1084 41
"Ermin Bicakcic" "TSG 1899 Hoffenheim" Innenverteidiger 25 1920 61
Felipe "Hannover 96" Innenverteidiger 17 1173 37
"Philipp Bargfrede" "SV Werder Bremen" "Defensives Mittelfeld" 15 1128 35
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 86
"Rani Khedira" "FC Augsburg" "Defensives Mittelfeld" 30 2800 82
"Oliver Sorg" "Hannover 96" Rechtsverteidiger 19 1679 45
"Jeffrey Gouweleeuw" "FC Augsburg" Innenverteidiger 25 2243 60
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 68
"Josuha Guilavogui" "VfL Wolfsburg" "Defensives Mittelfeld" 19 1666 44
"Tony Jantschke" "B. Mönchengladbach" Rechtsverteidiger 14 993 26
"Marcel Sobottka" "Fortuna Düsseldorf" "Defensives Mittelfeld" 14 1004 26
"D. Upamecano" "RB Leipzig" Innenverteidiger 15 1369 35
"Lukas Kübler" "SC Freiburg" Rechtsverteidiger 16 1264 32
"Jordan Torunarigha" "Hertha BSC" Innenverteidiger 14 1233 30
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 63
"Ondrej Petrák" "1. FC Nürnberg" "Defensives Mittelfeld" 22 1737 42
"Sven Bender" "Bayer 04 Leverkusen" Innenverteidiger 27 2123 51
"Salif Sané" "FC Schalke 04" Innenverteidiger 30 2824 67
"Kevin Wimmer" "Hannover 96" Innenverteidiger 22 1820 43
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 57
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 45
"Nuri Sahin" "SV Werder Bremen" "Defensives Mittelfeld" 20 1545 36
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 55
"Theodor Gebre Selassie" "SV Werder Bremen" Rechtsverteidiger 32 3018 68
"Ibrahima Konaté" "RB Leipzig" Innenverteidiger 28 2581 58
"Lukasz Piszczek" "Borussia Dortmund" Rechtsverteidiger 20 1876 42
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 71
"Marc-Oliver Kempf" "VfB Stuttgart" Innenverteidiger 23 2148 47
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 46
"Omar Mascarell" "FC Schalke 04" "Defensives Mittelfeld" 14 1073 23
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 50
"Waldemar Anton" "Hannover 96" Innenverteidiger 34 3278 69
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 29
"Julian Korb" "Hannover 96" Rechtsverteidiger 12 1070 22
"Daniel Baier" "FC Augsburg" "Defensives Mittelfeld" 33 2980 61
"Mats Hummels" "FC Bayern München" Innenverteidiger 21 1873 36
"Per Skjelbred" "Hertha BSC" "Defensives Mittelfeld" 16 1059 20
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 52
"Stefan Ilsanker" "RB Leipzig" "Defensives Mittelfeld" 19 1010 19
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 35
"Nordi Mukiele" "RB Leipzig" Rechtsverteidiger 19 1300 24
"Dan-Axel Zagadou" "Borussia Dortmund" Innenverteidiger 17 1361 25
"Pirmin Schwegler" "Hannover 96" "Defensives Mittelfeld" 27 2182 40
"Tin Jedvaj" "Bayer 04 Leverkusen" Innenverteidiger 16 1208 22
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 35
"Aleksandar Dragovic" "Bayer 04 Leverkusen" Innenverteidiger 18 1443 26
"Lukas Mühl" "1. FC Nürnberg" Innenverteidiger 31 2972 53
"Andre Hoffmann" "Fortuna Düsseldorf" Innenverteidiger 13 1131 20
"Nico Elvedi" "B. Mönchengladbach" Innenverteidiger 30 2776 49
"Niklas Stark" "Hertha BSC" Innenverteidiger 22 1996 35
"Pascal Stenzel" "SC Freiburg" Rechtsverteidiger 21 1542 27
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 45
"Patrick Erras" "1. FC Nürnberg" "Defensives Mittelfeld" 19 1317 23
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 30
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 44
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 17
Ewerton "1. FC Nürnberg" Innenverteidiger 18 1449 25
"David Abraham" "Eintracht Frankfurt" Innenverteidiger 17 1510 26
"Willi Orban" "RB Leipzig" Innenverteidiger 24 2167 37
"Marvin Bakalorz" "Hannover 96" "Zentrales Mittelfeld" 25 1590 27
"Benjamin Stambouli" "FC Schalke 04" Innenverteidiger 21 1902 32
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 30
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 20
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 48
"Marcin Kaminski" "Fortuna Düsseldorf" Innenverteidiger 27 2581 42
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 48
"Ozan Kabak" "VfB Stuttgart" Innenverteidiger 15 1431 23
"Robert Bauer" "1. FC Nürnberg" Rechtsverteidiger 22 1816 29
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 17
"Karim Rekik" "Hertha BSC" Innenverteidiger 24 2198 35
"Milos Veljkovic" "SV Werder Bremen" Innenverteidiger 23 2010 32
"Matthias Ostrzolek" "Hannover 96" Linksverteidiger 18 1581 25
"Timo Baumgartl" "VfB Stuttgart" Innenverteidiger 18 1709 27
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 31
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 35
"Adam Bodzek" "Fortuna Düsseldorf" "Defensives Mittelfeld" 21 1678 26
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 46
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 22
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 41
"Marko Grujic" "Hertha BSC" "Zentrales Mittelfeld" 22 1907 29
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 47
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 25
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 44
"Julian Baumgartlinger" "Bayer 04 Leverkusen" "Defensives Mittelfeld" 21 1667 25
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 28
"Kevin Kampl" "RB Leipzig" "Zentrales Mittelfeld" 27 2212 33
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 38
"Niklas Süle" "FC Bayern München" Innenverteidiger 31 2831 42
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 37
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 46
"Makoto Hasebe" "Eintracht Frankfurt" Innenverteidiger 28 2697 39
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 32
"Matija Nastasic" "FC Schalke 04" Innenverteidiger 28 2636 38
"John Anthony Brooks" "VfL Wolfsburg" Innenverteidiger 29 2798 40
"Robin Koch" "SC Freiburg" Innenverteidiger 24 2048 29
"Kevin Danso" "FC Augsburg" Innenverteidiger 18 1346 19
"Niklas Moisander" "SV Werder Bremen" Innenverteidiger 30 2835 40
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 46
"Robin Knoche" "VfL Wolfsburg" Innenverteidiger 32 2986 42
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 41
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 30
"Jérôme Boateng" "FC Bayern München" Innenverteidiger 20 1798 25
"Kevin Vogt" "TSG 1899 Hoffenheim" Innenverteidiger 28 2540 35
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 24
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 29
"Tobias Strobl" "B. Mönchengladbach" "Defensives Mittelfeld" 29 2431 33
"Lukas Klostermann" "RB Leipzig" Rechtsverteidiger 26 2141 29
"Jérôme Gondorf" "SC Freiburg" "Zentrales Mittelfeld" 25 1404 19
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 39
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 36
