Name Verein Position Einsatz SpielMinuten balleroberungen
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 67
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 28
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 49
"Jordan Torunarigha" "Hertha BSC" Innenverteidiger 14 1233 28
"Leonardo Bittencourt" "TSG 1899 Hoffenheim" "Linke Außenbahn" 21 1146 26
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 54
"Nuri Sahin" "SV Werder Bremen" "Defensives Mittelfeld" 20 1545 33
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 30
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 61
"Oliver Fink" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 18 1118 23
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 48
"Stefan Posch" "TSG 1899 Hoffenheim" Innenverteidiger 17 1499 30
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 57
Wendell "Bayer 04 Leverkusen" Linksverteidiger 28 2426 48
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 39
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 63
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 50
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 41
"Lukasz Piszczek" "Borussia Dortmund" Rechtsverteidiger 20 1876 36
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 37
"Enrico Valentini" "1. FC Nürnberg" Rechtsverteidiger 15 1373 26
"Marcel Sobottka" "Fortuna Düsseldorf" "Defensives Mittelfeld" 14 1004 19
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 47
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 48
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 55
"Suat Serdar" "FC Schalke 04" "Zentrales Mittelfeld" 26 1831 34
"Sebastian Rudy" "FC Schalke 04" "Defensives Mittelfeld" 21 1455 27
"Adam Bodzek" "Fortuna Düsseldorf" "Defensives Mittelfeld" 21 1678 31
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 22
"Julian Baumgartlinger" "Bayer 04 Leverkusen" "Defensives Mittelfeld" 21 1667 30
"Lukas Kübler" "SC Freiburg" Rechtsverteidiger 16 1264 22
"Marko Grujic" "Hertha BSC" "Zentrales Mittelfeld" 22 1907 33
"Oliver Sorg" "Hannover 96" Rechtsverteidiger 19 1679 29
"André Hahn" "FC Augsburg" "Rechte Außenbahn" 28 2207 38
"Robert Bauer" "1. FC Nürnberg" Rechtsverteidiger 22 1816 31
"Pirmin Schwegler" "Hannover 96" "Defensives Mittelfeld" 27 2182 37
"Kerem Demirbay" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 26 2132 36
"Pascal Stenzel" "SC Freiburg" Rechtsverteidiger 21 1542 26
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 43
"Julian Korb" "Hannover 96" Rechtsverteidiger 12 1070 18
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 30
"Admir Mehmedi" "VfL Wolfsburg" Stürmer 26 1786 30
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 37
"Benjamin Stambouli" "FC Schalke 04" Innenverteidiger 21 1902 31
"Nordi Mukiele" "RB Leipzig" Rechtsverteidiger 19 1300 21
"Per Skjelbred" "Hertha BSC" "Defensives Mittelfeld" 16 1059 17
"Stefan Ilsanker" "RB Leipzig" "Defensives Mittelfeld" 19 1010 16
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 35
"Alessandro Schöpf" "FC Schalke 04" "Offensives Mittelfeld" 15 1093 17
"Ondrej Petrák" "1. FC Nürnberg" "Defensives Mittelfeld" 22 1737 27
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 46
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 34
"Lucas Höler" "SC Freiburg" Stürmer 26 1083 16
"Jeffrey Gouweleeuw" "FC Augsburg" Innenverteidiger 25 2243 33
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 26
"Daniel Didavi" "VfB Stuttgart" "Offensives Mittelfeld" 20 1027 15
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 29
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 42
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 24
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 29
"Philipp Bargfrede" "SV Werder Bremen" "Defensives Mittelfeld" 15 1128 16
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 32
"Rani Khedira" "FC Augsburg" "Defensives Mittelfeld" 30 2800 39
Ewerton "1. FC Nürnberg" Innenverteidiger 18 1449 20
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 24
