Name,Verein,Position,Einsatz,SpielMinuten,Fouls
André Hahn,FC Augsburg,Rechte Außenbahn,28,2207,67
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32,2687,77
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23,1653,43
Marcel Sobottka,Fortuna Düsseldorf,Defensives Mittelfeld,14,1004,26
Alessandro Schöpf,FC Schalke 04,Offensives Mittelfeld,15,1093,28
Alfred Finnbogason,FC Augsburg,Stürmer,18,1375,34
Joelinton,TSG 1899 Hoffenheim,Stürmer,28,2268,56
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28,2348,56
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22,1907,44
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30,2257,52
Florian Niederlechner,SC Freiburg,Stürmer,24,1006,23
Ante Rebic,Eintracht Frankfurt,Stürmer,28,2098,47
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18,1118,25
Philipp Bargfrede,SV Werder Bremen,Defensives Mittelfeld,15,1128,25
Yussuf Poulsen,RB Leipzig,Stürmer,31,2595,56
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26,2132,46
Virgil Misidjan,1. FC Nürnberg,Rechte Außenbahn,23,1624,35
Matheus Pereira,1. FC Nürnberg,Rechte Außenbahn,19,1311,28
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26,1831,39
Breel Embolo,FC Schalke 04,Stürmer,20,1411,30
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14,1233,26
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25,2255,47
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17,1499,31
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18,1065,22
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25,1404,29
Anastasios Donis,VfB Stuttgart,Stürmer,24,1017,21
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27,2182,45
Thiago,FC Bayern München,Zentrales Mittelfeld,30,2544,52
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29,1972,40
Vedad Ibisevic,Hertha BSC,Stürmer,28,1878,38
Milot Rashica,SV Werder Bremen,Stürmer,26,1631,33
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18,1207,24
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19,1010,20
Adam Bodzek,Fortuna Düsseldorf,Defensives Mittelfeld,21,1678,33
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21,1455,28
Miiko Albornoz,Hannover 96,Linksverteidiger,22,1779,34
Lars Bender,Bayer 04 Leverkusen,Rechtsverteidiger,20,1428,27
