Name Verein Position Einsatz SpielMinuten "Clean Sheet"
"Péter Gulácsi" "RB Leipzig" Torhüter 33 3097 15
"Yann Sommer" "B. Mönchengladbach" Torhüter 34 3252 13
"Manuel Neuer" "FC Bayern München" Torhüter 26 2438 10
"Roman Bürki" "Borussia Dortmund" Torhüter 32 3090 10
"Lukás Hrádecky" "Bayer 04 Leverkusen" Torhüter 32 3076 9
"Koen Casteels" "VfL Wolfsburg" Torhüter 26 2462 8
"Rune Jarstein" "Hertha BSC" Torhüter 31 2924 8
"Kevin Trapp" "Eintracht Frankfurt" Torhüter 33 3149 8
"Ron-Robert Zieler" "VfB Stuttgart" Torhüter 34 3240 6
"Florian Müller" "1. FSV Mainz 05" Torhüter 24 2300 5
"Michael Rensing" "Fortuna Düsseldorf" Torhüter 32 3068 5
"Michael Esser" "Hannover 96" Torhüter 32 3084 5
"Oliver Baumann" "TSG 1899 Hoffenheim" Torhüter 33 3186 5
"Alexander Schwolow" "SC Freiburg" Torhüter 33 3188 5
"Jirí Pavlenka" "SV Werder Bremen" Torhüter 34 3188 5
"Alexander Nübel" "FC Schalke 04" Torhüter 18 1696 4
"Gregor Kobel" "FC Augsburg" Torhüter 17 1565 3
"Ralf Fährmann" "FC Schalke 04" Torhüter 17 1596 3
"Fabian Bredlow" "1. FC Nürnberg" Torhüter 13 1194 2
"Andreas Luthe" "FC Augsburg" Torhüter 15 1408 2
"Christian Mathenia" "1. FC Nürnberg" Torhüter 22 2067 2
