Name Verein Position Einsatz SpielMinuten "Successful Dribblings" "Total Dribblings"
"Jadon Sancho" "Borussia Dortmund" "Linke Außenbahn" 34 2644 111 192
"Thorgan Hazard" "B. Mönchengladbach" "Rechte Außenbahn" 33 3035 70 133
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 61 106
"Kingsley Coman" "FC Bayern München" "Linke Außenbahn" 21 1441 58 97
"Kerem Demirbay" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 26 2132 57 80
"Filip Kostic" "Eintracht Frankfurt" "Linke Außenbahn" 34 3158 56 94
"Julian Brandt" "Bayer 04 Leverkusen" "Linke Außenbahn" 33 2823 55 107
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 54 66
"Salomon Kalou" "Hertha BSC" "Linke Außenbahn" 30 2429 54 83
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 51 83
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 51 115
"Serge Gnabry" "FC Bayern München" "Linke Außenbahn" 30 1887 51 124
"Leon Bailey" "Bayer 04 Leverkusen" "Linke Außenbahn" 29 2018 50 78
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 49 99
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 48 91
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 45 61
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 45 74
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 45 85
"Ante Rebic" "Eintracht Frankfurt" Stürmer 28 2098 45 106
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 44 88
"Christian Pulisic" "Borussia Dortmund" "Rechte Außenbahn" 20 1030 43 92
"Virgil Misidjan" "1. FC Nürnberg" "Rechte Außenbahn" 23 1624 42 112
Joelinton "TSG 1899 Hoffenheim" Stürmer 28 2268 41 90
"Matheus Pereira" "1. FC Nürnberg" "Rechte Außenbahn" 19 1311 40 56
"Abdou Diallo" "Borussia Dortmund" Innenverteidiger 28 2554 40 58
