Name,Verein,Position,Einsatz,SpielMinuten,ErrorGegentor
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,6.0
Lucas Höler,SC Freiburg,Stürmer,26.0,1083.0,2.0
Alexander Hack,1. FSV Mainz 05,Innenverteidiger,14.0,1084.0,2.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,1666.0,3.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,2.0
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,3.0
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,2.0
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,2.0
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28.0,2697.0,3.0
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,2.0
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,2824.0,3.0
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,2.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,3.0
Tony Jantschke,B. Mönchengladbach,Rechtsverteidiger,14.0,993.0,1.0
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,1996.0,2.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,2.0
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,1.0
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,1.0
Julian Korb,Hannover 96,Rechtsverteidiger,12.0,1070.0,1.0
Philipp Bargfrede,SV Werder Bremen,Defensives Mittelfeld,15.0,1128.0,1.0
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,2.0
Sebastian Kerk,1. FC Nürnberg,Linke Außenbahn,21.0,1246.0,1.0
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16.0,1264.0,1.0
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,2.0
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27.0,2581.0,2.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,2603.0,2.0
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,1.0
Alassane Plea,B. Mönchengladbach,Stürmer,34.0,2640.0,2.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,2.0
Daniel Ginczek,VfL Wolfsburg,Stürmer,24.0,1373.0,1.0
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29.0,2759.0,2.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,1.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,1.0
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,1.0
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,2.0
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32.0,2986.0,2.0
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,1.0
Max Kruse,SV Werder Bremen,Stürmer,32.0,3018.0,2.0
Marco Richter,FC Augsburg,Stürmer,25.0,1510.0,1.0
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,1.0
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,1.0
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,1.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,2.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,2.0
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,2.0
Milot Rashica,SV Werder Bremen,Stürmer,26.0,1631.0,1.0
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,1.0
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,3278.0,2.0
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,1.0
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,1.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,1781.0,1.0
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,1.0
Gian-Luca Waldschmidt,SC Freiburg,Stürmer,30.0,1830.0,1.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,1.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,1.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,1.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,1.0
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,1.0
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,1.0
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,1.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,1.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,1.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,1.0
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,1.0
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25.0,2243.0,1.0
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,1.0
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,1.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,1.0
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27.0,2522.0,1.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,1.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,1.0
Florian Grillitsch,TSG 1899 Hoffenheim,Zentrales Mittelfeld,30.0,2571.0,1.0
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,1.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,1.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,1.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,1.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,1.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,1.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,2800.0,1.0
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,1.0
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30.0,2835.0,1.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,1.0
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31.0,2972.0,1.0
