Name,Verein,Position,Einsatz,SpielMinuten,Balleroberungen
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,1996.0,34.0
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,28.0
Alexander Hack,1. FSV Mainz 05,Innenverteidiger,14.0,1084.0,17.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,31.0
Kevin Wimmer,Hannover 96,Innenverteidiger,22.0,1820.0,26.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,39.0
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,28.0
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,17.0
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,18.0
Andre Hoffmann,Fortuna Düsseldorf,Innenverteidiger,13.0,1131.0,14.0
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,13.0
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32.0,2986.0,35.0
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25.0,2243.0,25.0
Tony Jantschke,B. Mönchengladbach,Rechtsverteidiger,14.0,993.0,11.0
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,2824.0,31.0
Moussa Niakhaté,1. FSV Mainz 05,Innenverteidiger,33.0,2975.0,32.0
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,3278.0,35.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,33.0
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22.0,1816.0,19.0
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17.0,1499.0,15.0
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,15.0
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,13.0
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,20.0
Philipp Bargfrede,SV Werder Bremen,Defensives Mittelfeld,15.0,1128.0,11.0
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,13.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,26.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,18.0
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28.0,2697.0,25.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,13.0
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,2010.0,18.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,2800.0,25.0
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,23.0
Sebastian Kerk,1. FC Nürnberg,Linke Außenbahn,21.0,1246.0,11.0
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16.0,1264.0,11.0
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,1840.0,16.0
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,21.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,28.0
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,25.0
Felipe,Hannover 96,Innenverteidiger,17.0,1173.0,10.0
Sven Bender,Bayer 04 Leverkusen,Innenverteidiger,27.0,2123.0,18.0
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,26.0
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,2483.0,21.0
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31.0,2972.0,25.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,1443.0,12.0
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,13.0
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25.0,1929.0,16.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,21.0
Karim Rekik,Hertha BSC,Innenverteidiger,24.0,2198.0,18.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,11.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,21.0
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27.0,2522.0,20.0
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,12.0
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,16.0
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,15.0
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31.0,2918.0,23.0
Willi Orban,RB Leipzig,Innenverteidiger,24.0,2167.0,17.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,20.0
Oliver Sorg,Hannover 96,Rechtsverteidiger,19.0,1679.0,13.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,25.0
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26.0,2343.0,18.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,20.0
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29.0,2759.0,21.0
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26.0,2141.0,16.0
Christian Günter,SC Freiburg,Linksverteidiger,32.0,3082.0,23.0
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14.0,1073.0,8.0
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30.0,2835.0,21.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,2603.0,19.0
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,1653.0,12.0
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24.0,1929.0,14.0
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,17.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,19.0
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,3266.0,23.0
Marcel Sobottka,Fortuna Düsseldorf,Defensives Mittelfeld,14.0,1004.0,7.0
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,11.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,13.0
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,14.0
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,22.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,18.0
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,10.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,19.0
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,20.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,16.0
