Name Verein Position Einsatz SpielMinuten "Geklaerte Baelle"
Ewerton "1. FC Nürnberg" Innenverteidiger 18 1449 106
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 185
"Niklas Stark" "Hertha BSC" Innenverteidiger 22 1996 133
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 210
"Willi Orban" "RB Leipzig" Innenverteidiger 24 2167 139
"Georg Margreitter" "1. FC Nürnberg" Innenverteidiger 27 2206 137
"Marc-Oliver Kempf" "VfB Stuttgart" Innenverteidiger 23 2148 131
Felipe "Hannover 96" Innenverteidiger 17 1173 70
"Timo Baumgartl" "VfB Stuttgart" Innenverteidiger 18 1709 96
"Alexander Hack" "1. FSV Mainz 05" Innenverteidiger 14 1084 58
"Kevin Danso" "FC Augsburg" Innenverteidiger 18 1346 72
"Milos Veljkovic" "SV Werder Bremen" Innenverteidiger 23 2010 105
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 123
"Dan-Axel Zagadou" "Borussia Dortmund" Innenverteidiger 17 1361 69
"Sebastian Langkamp" "SV Werder Bremen" Innenverteidiger 21 1520 77
"Salif Sané" "FC Schalke 04" Innenverteidiger 30 2824 143
"Waldemar Anton" "Hannover 96" Innenverteidiger 34 3278 164
"Tony Jantschke" "B. Mönchengladbach" Rechtsverteidiger 14 993 48
"Niklas Moisander" "SV Werder Bremen" Innenverteidiger 30 2835 136
"Ibrahima Konaté" "RB Leipzig" Innenverteidiger 28 2581 121
"Nico Elvedi" "B. Mönchengladbach" Innenverteidiger 30 2776 130
"John Anthony Brooks" "VfL Wolfsburg" Innenverteidiger 29 2798 131
"Manuel Gulde" "SC Freiburg" Innenverteidiger 21 1840 85
"Evan N'Dicka" "Eintracht Frankfurt" Innenverteidiger 27 2483 113
"Robin Knoche" "VfL Wolfsburg" Innenverteidiger 32 2986 135
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 134
"Sven Bender" "Bayer 04 Leverkusen" Innenverteidiger 27 2123 95
"Lukas Mühl" "1. FC Nürnberg" Innenverteidiger 31 2972 131
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 114
"Jordan Torunarigha" "Hertha BSC" Innenverteidiger 14 1233 54
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 137
"Aleksandar Dragovic" "Bayer 04 Leverkusen" Innenverteidiger 18 1443 63
"Matija Nastasic" "FC Schalke 04" Innenverteidiger 28 2636 113
"Tin Jedvaj" "Bayer 04 Leverkusen" Innenverteidiger 16 1208 50
"Stefan Ilsanker" "RB Leipzig" "Defensives Mittelfeld" 19 1010 41
"Marcin Kaminski" "Fortuna Düsseldorf" Innenverteidiger 27 2581 104
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 114
"David Abraham" "Eintracht Frankfurt" Innenverteidiger 17 1510 60
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 115
"Ermin Bicakcic" "TSG 1899 Hoffenheim" Innenverteidiger 25 1920 76
"Kevin Vogt" "TSG 1899 Hoffenheim" Innenverteidiger 28 2540 99
"Karim Rekik" "Hertha BSC" Innenverteidiger 24 2198 85
"Matthias Ginter" "B. Mönchengladbach" Innenverteidiger 27 2522 97
"Philipp Bargfrede" "SV Werder Bremen" "Defensives Mittelfeld" 15 1128 43
