Name,Verein,Position,Einsatz,SpielMinuten,GrosschancenKreiert
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,20.0
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,15.0
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,14.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,14.0
Robert Lewandowski,FC Bayern München,Stürmer,33.0,3129.0,14.0
Thomas Müller,FC Bayern München,Rechte Außenbahn,32.0,2483.0,13.0
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30.0,2711.0,13.0
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,13.0
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33.0,3035.0,13.0
Serge Gnabry,FC Bayern München,Linke Außenbahn,30.0,1887.0,12.0
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31.0,2918.0,12.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,1781.0,11.0
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,11.0
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,2463.0,11.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,11.0
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34.0,2983.0,10.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,9.0
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,9.0
Joelinton,TSG 1899 Hoffenheim,Stürmer,28.0,2268.0,9.0
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,9.0
Salomon Kalou,Hertha BSC,Linke Außenbahn,30.0,2429.0,9.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,9.0
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,9.0
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,8.0
Ante Rebic,Eintracht Frankfurt,Stürmer,28.0,2098.0,8.0
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30.0,2492.0,8.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,2687.0,8.0
Max Kruse,SV Werder Bremen,Stürmer,32.0,3018.0,8.0
Christian Günter,SC Freiburg,Linksverteidiger,32.0,3082.0,8.0
James,FC Bayern München,Offensives Mittelfeld,20.0,1200.0,7.0
Kingsley Coman,FC Bayern München,Linke Außenbahn,21.0,1441.0,7.0
Milot Rashica,SV Werder Bremen,Stürmer,26.0,1631.0,7.0
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27.0,2212.0,7.0
Andrej Kramaric,TSG 1899 Hoffenheim,Stürmer,30.0,2548.0,7.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,7.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,7.0
Wout Weghorst,VfL Wolfsburg,Stürmer,34.0,3098.0,7.0
Karim Bellarabi,Bayer 04 Leverkusen,Rechte Außenbahn,19.0,1131.0,6.0
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,6.0
Emil Forsberg,RB Leipzig,Linke Außenbahn,20.0,1305.0,6.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,6.0
Breel Embolo,FC Schalke 04,Stürmer,20.0,1411.0,6.0
Marco Richter,FC Augsburg,Stürmer,25.0,1510.0,6.0
Admir Mehmedi,VfL Wolfsburg,Stürmer,26.0,1786.0,6.0
Hendrik Weydandt,Hannover 96,Stürmer,28.0,1847.0,6.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,6.0
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,6.0
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26.0,2343.0,6.0
Luka Jovic,Eintracht Frankfurt,Stürmer,32.0,2382.0,6.0
Yussuf Poulsen,RB Leipzig,Stürmer,31.0,2595.0,6.0
Timo Werner,RB Leipzig,Stürmer,30.0,2605.0,6.0
David Alaba,FC Bayern München,Linksverteidiger,31.0,2688.0,6.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,6.0
Davy Klaassen,SV Werder Bremen,Zentrales Mittelfeld,33.0,2985.0,6.0
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,6.0
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,6.0
Patrick Herrmann,B. Mönchengladbach,Rechte Außenbahn,24.0,1184.0,5.0
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,5.0
Davie Selke,Hertha BSC,Stürmer,30.0,1869.0,5.0
Rouwen Hennings,Fortuna Düsseldorf,Stürmer,29.0,1956.0,5.0
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29.0,1972.0,5.0
Ishak Belfodil,TSG 1899 Hoffenheim,Stürmer,28.0,1982.0,5.0
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29.0,2018.0,5.0
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32.0,2164.0,5.0
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,5.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,5.0
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,2612.0,5.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,5.0
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,5.0
