Name,Verein,Position,Einsatz,SpielMinuten,GewonneneLuftkaempfe,GesamteLuftkaempfe
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,30.0,36.0
Ondrej Petrák,1. FC Nürnberg,Defensives Mittelfeld,22.0,1737.0,43.0,55.0
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,2824.0,118.0,153.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,80.0,104.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,74.0,102.0
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,97.0,135.0
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,58.0,82.0
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,94.0,133.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,1233.0,37.0,53.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,76.0,109.0
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,46.0,66.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,48.0,69.0
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,38.0,55.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,83.0,121.0
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,46.0,68.0
D. Upamecano,RB Leipzig,Innenverteidiger,15.0,1369.0,45.0,67.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,54.0,81.0
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,46.0,69.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,70.0,106.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,69.0,105.0
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,40.0,61.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,59.0,90.0
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,22.0,34.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,64.0,99.0
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,105.0,164.0
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25.0,1929.0,42.0,66.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,53.0,84.0
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,34.0,54.0
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,59.0,94.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,52.0,83.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,86.0,138.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,107.0,172.0
