Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore
Robert Lewandowski,FC Bayern München,Mittelstürmer,33.0,30,10,3.0,22.0
Paco Alcácer,Borussia Dortmund,Mittelstürmer,26.0,25,0,1.0,18.0
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,29,11,3.0,17.0
Wout Weghorst,VfL Wolfsburg,Mittelstürmer,34.0,26,7,4.0,17.0
Luka Jovic,Eintracht Frankfurt,Mittelstürmer,32.0,21,6,1.0,17.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,19,4,3.0,17.0
Andrej Kramaric,TSG 1899 Hoffenheim,Mittelstürmer,30.0,27,4,5.0,17.0
Timo Werner,RasenBallsport Leipzig,Mittelstürmer,30.0,23,9,0.0,16.0
Ishak Belfodil,TSG 1899 Hoffenheim,Mittelstürmer,28.0,27,5,0.0,16.0
Sébastien Haller,Eintracht Frankfurt,Mittelstürmer,29.0,24,9,3.0,15.0
Yussuf Poulsen,RasenBallsport Leipzig,Mittelstürmer,31.0,24,4,0.0,15.0
Kevin Volland,Bayer 04 Leverkusen,Mittelstürmer,34.0,26,12,0.0,14.0
Jean-Philippe Mateta,1.FSV Mainz 05,Mittelstürmer,34.0,21,3,0.0,14.0
Jadon Sancho,Borussia Dortmund,Rechtsaußen,34.0,19,17,0.0,12.0
Alassane Plea,Borussia Mönchengladbach,Mittelstürmer,34.0,26,4,0.0,12.0
Max Kruse,SV Werder Bremen,Mittelstürmer,32.0,31,10,3.0,11.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,24,6,0.0,11.0
Thorgan Hazard,Borussia Mönchengladbach,Linksaußen,33.0,26,11,3.0,10.0
Serge Gnabry,FC Bayern München,Rechtsaußen,30.0,23,7,0.0,10.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechtsaußen,31.0,21,4,4.0,10.0
Benito Raman,Fortuna Düsseldorf,Linksaußen,30.0,24,4,0.0,10.0
Vedad Ibisevic,Hertha BSC,Mittelstürmer,28.0,34,3,1.0,10.0
Nils Petersen,SC Freiburg,Mittelstürmer,24.0,30,3,1.0,10.0
Alfred Finnbogason,FC Augsburg,Mittelstürmer,18.0,30,2,4.0,10.0
Milot Rashica,SV Werder Bremen,Linksaußen,26.0,22,5,1.0,9.0
Ante Rebic,Eintracht Frankfurt,Hängende Spitze,28.0,25,4,0.0,9.0
Luca Waldschmidt,SC Freiburg,Mittelstürmer,30.0,22,3,3.0,9.0
Lucas Alario,Bayer 04 Leverkusen,Mittelstürmer,27.0,26,3,0.0,9.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,24,5,0.0,8.0
Salomon Kalou,Hertha BSC,Linksaußen,30.0,33,3,3.0,8.0
Julian Brandt,Bayer 04 Leverkusen,Linksaußen,33.0,23,14,0.0,7.0
Joelinton,TSG 1899 Hoffenheim,Mittelstürmer,28.0,22,7,0.0,7.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,26,7,0.0,7.0
Vincenzo Grifo,Spiel für mehrere Vereine,Linksaußen,23.0,26,6,2.0,7.0
