Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Alter,Vorlagen,Elfmetertor,Tore,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles
Alexander Hack,1. FSV Mainz 05,Innenverteidiger,14.0,1084.0,41.0,,,,,12.0,,13.0,,8.0,10.0,2.0,,,58.0,,,,43.0,74.0,25.0,1.0,0.0,1.0,,420.0,556.0,11.0,12.0,37.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,61.0,,,,,19.0,,18.0,,,,1.0,,,76.0,,,,53.0,84.0,29.0,2.0,0.0,1.0,,1031.0,1171.0,10.0,19.0,41.0
Felipe,Hannover 96,Innenverteidiger,17.0,1173.0,37.0,,,,,15.0,,17.0,,,,,,,70.0,,,,30.0,55.0,31.0,0.0,0.0,2.0,,370.0,497.0,10.0,15.0,30.0
Philipp Bargfrede,SV Werder Bremen,Defensives Mittelfeld,15.0,1128.0,35.0,,,,,16.0,10.0,25.0,,,,1.0,,,43.0,,,,27.0,44.0,,,,,,454.0,556.0,,16.0,40.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,86.0,,,,,57.0,47.0,37.0,,27.0,53.0,3.0,,,114.0,3.0,,,49.0,86.0,24.0,3.0,0.0,2.0,,1308.0,1780.0,25.0,57.0,121.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,2800.0,82.0,,,,,39.0,14.0,47.0,,,,1.0,,,91.0,,,,61.0,118.0,25.0,1.0,0.0,4.0,,1023.0,1252.0,14.0,39.0,73.0
Oliver Sorg,Hannover 96,Rechtsverteidiger,19.0,1679.0,45.0,,,,,29.0,,11.0,,9.0,14.0,,,,43.0,,,,10.0,34.0,,,,,,618.0,835.0,,29.0,66.0
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25.0,2243.0,60.0,,,,,33.0,23.0,21.0,,10.0,22.0,1.0,,,65.0,2.0,,,44.0,82.0,,,,,,931.0,1213.0,,33.0,56.0
Florian Grillitsch,TSG 1899 Hoffenheim,Zentrales Mittelfeld,30.0,2571.0,68.0,,,,,48.0,21.0,41.0,,23.0,33.0,1.0,,,52.0,4.0,,,46.0,95.0,,,,,,1304.0,1568.0,32.0,48.0,118.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,1666.0,44.0,,,,,15.0,,24.0,,8.0,10.0,3.0,,,55.0,,,,29.0,49.0,28.0,1.0,0.0,2.0,,654.0,804.0,,15.0,41.0
Tony Jantschke,B. Mönchengladbach,Rechtsverteidiger,14.0,993.0,26.0,,,,,9.0,,,,,,1.0,,,48.0,,,,29.0,51.0,,,,,,724.0,805.0,,9.0,16.0
Marcel Sobottka,Fortuna Düsseldorf,Defensives Mittelfeld,14.0,1004.0,26.0,,,,,19.0,10.0,26.0,,,,,,,14.0,,,,21.0,48.0,,,,,,268.0,337.0,,19.0,39.0
D. Upamecano,RB Leipzig,Innenverteidiger,15.0,1369.0,35.0,,,,,15.0,10.0,17.0,,8.0,9.0,,,,43.0,,,,45.0,67.0,,,,,,616.0,744.0,10.0,15.0,24.0
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16.0,1264.0,32.0,,,,,22.0,,16.0,,6.0,10.0,1.0,,,43.0,3.0,,,22.0,45.0,,,,,,381.0,556.0,,22.0,43.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,1233.0,30.0,,,,,28.0,13.0,26.0,,,,,,,54.0,2.0,,,37.0,53.0,21.0,2.0,0.0,2.0,,391.0,496.0,,28.0,43.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,2603.0,63.0,,,,,31.0,,25.0,,13.0,18.0,2.0,,,114.0,,,,42.0,71.0,24.0,1.0,0.0,4.0,,1262.0,1436.0,23.0,31.0,77.0
Ondrej Petrák,1. FC Nürnberg,Defensives Mittelfeld,22.0,1737.0,42.0,,,,,27.0,15.0,29.0,,,,,,,20.0,,,,43.0,55.0,,,,,,607.0,711.0,14.0,27.0,49.0
Sven Bender,Bayer 04 Leverkusen,Innenverteidiger,27.0,2123.0,51.0,,,,,25.0,,21.0,,,,,,,95.0,,,,74.0,121.0,,,,,,1517.0,1671.0,15.0,25.0,53.0
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,2824.0,67.0,,,,,38.0,,27.0,,13.0,15.0,3.0,,,143.0,,,,118.0,153.0,28.0,0.0,0.0,2.0,,1280.0,1541.0,19.0,38.0,72.0
Kevin Wimmer,Hannover 96,Innenverteidiger,22.0,1820.0,43.0,,,,,17.0,,20.0,,,,,,,58.0,,,,28.0,51.0,,,,,,844.0,1046.0,,17.0,37.0
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,2427.0,57.0,,,,,54.0,21.0,45.0,,10.0,17.0,,,,43.0,3.0,,,54.0,97.0,27.0,6.0,0.0,3.0,,1382.0,1624.0,33.0,54.0,80.0
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25.0,1929.0,45.0,,,,,37.0,41.0,14.0,,23.0,39.0,,,,51.0,,,,42.0,66.0,22.0,2.0,0.0,1.0,,650.0,898.0,23.0,37.0,86.0
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,1545.0,36.0,,,,,33.0,16.0,28.0,,8.0,12.0,,,,39.0,,,,28.0,54.0,30.0,1.0,0.0,1.0,,936.0,1117.0,12.0,33.0,93.0
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,55.0,,,,,20.0,14.0,41.0,,15.0,19.0,1.0,,,123.0,,,,94.0,133.0,,,,,,957.0,1209.0,18.0,20.0,48.0
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,68.0,,,,,38.0,38.0,33.0,,14.0,31.0,,,,87.0,2.0,,,101.0,181.0,32.0,3.0,0.0,3.0,,1352.0,1669.0,27.0,38.0,81.0
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,58.0,,,,,32.0,14.0,37.0,,22.0,26.0,,,,121.0,,,,97.0,135.0,19.0,1.0,0.0,1.0,,789.0,1037.0,12.0,32.0,56.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,42.0,,,,,36.0,24.0,16.0,,8.0,25.0,,,,59.0,3.0,,,59.0,90.0,33.0,6.0,0.0,1.0,,1079.0,1330.0,12.0,36.0,74.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,71.0,,,,,63.0,29.0,49.0,,19.0,35.0,2.0,,,79.0,5.0,,,33.0,69.0,26.0,3.0,0.0,1.0,,1231.0,1643.0,15.0,63.0,141.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,47.0,,,,,18.0,,24.0,,,,1.0,,,131.0,,,,107.0,172.0,,,,,,835.0,1032.0,14.0,18.0,45.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,46.0,,,,,22.0,53.0,31.0,,23.0,44.0,1.0,,,36.0,,,,54.0,92.0,24.0,1.0,0.0,1.0,,914.0,1076.0,19.0,22.0,83.0
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14.0,1073.0,23.0,,,,,10.0,10.0,13.0,,,,,,,,,,,12.0,23.0,,,,,,397.0,473.0,,10.0,34.0
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,2348.0,50.0,,,,,48.0,20.0,56.0,,5.0,11.0,,,,16.0,,,,34.0,82.0,32.0,0.0,0.0,1.0,,705.0,846.0,,48.0,112.0
