Name,Verein,Position,Einsatz,SpielMinuten,Paraden
Michael Esser,Hannover 96,Torhüter,32.0,3084.0,118.0
Andreas Luthe,FC Augsburg,Torhüter,15.0,1408.0,48.0
Christian Mathenia,1. FC Nürnberg,Torhüter,22.0,2067.0,69.0
Florian Müller,1. FSV Mainz 05,Torhüter,24.0,2300.0,73.0
Ron-Robert Zieler,VfB Stuttgart,Torhüter,34.0,3240.0,98.0
Kevin Trapp,Eintracht Frankfurt,Torhüter,33.0,3149.0,93.0
Oliver Baumann,TSG 1899 Hoffenheim,Torhüter,33.0,3186.0,94.0
Gregor Kobel,FC Augsburg,Torhüter,17.0,1565.0,46.0
Michael Rensing,Fortuna Düsseldorf,Torhüter,32.0,3068.0,89.0
Alexander Schwolow,SC Freiburg,Torhüter,33.0,3188.0,92.0
Ralf Fährmann,FC Schalke 04,Torhüter,17.0,1596.0,46.0
Fabian Bredlow,1. FC Nürnberg,Torhüter,13.0,1194.0,32.0
Alexander Nübel,FC Schalke 04,Torhüter,18.0,1696.0,45.0
Yann Sommer,B. Mönchengladbach,Torhüter,34.0,3252.0,86.0
Jirí Pavlenka,SV Werder Bremen,Torhüter,34.0,3188.0,84.0
Rune Jarstein,Hertha BSC,Torhüter,31.0,2924.0,74.0
Koen Casteels,VfL Wolfsburg,Torhüter,26.0,2462.0,60.0
Roman Bürki,Borussia Dortmund,Torhüter,32.0,3090.0,69.0
Péter Gulácsi,RB Leipzig,Torhüter,33.0,3097.0,69.0
Lukás Hrádecky,Bayer 04 Leverkusen,Torhüter,32.0,3076.0,66.0
Manuel Neuer,FC Bayern München,Torhüter,26.0,2438.0,21.0
