Name,Verein,Position,Einsatz,SpielMinuten,PassCompleted,TotalPass
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,1722.0,1852.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,2248.0,2418.0
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,1123.0,1208.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,2385.0,2566.0
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,1928.0,2081.0
Sven Bender,Bayer 04 Leverkusen,Innenverteidiger,27.0,2123.0,1517.0,1671.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,1339.0,1488.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,1443.0,978.0,1087.0
Tony Jantschke,B. Mönchengladbach,Rechtsverteidiger,14.0,993.0,724.0,805.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,2316.0,2576.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,2237.0,2493.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,1559.0,1741.0
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,1233.0,1378.0
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,1656.0,1855.0
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,1428.0,1609.0
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,859.0,969.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,1731.0,1957.0
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18.0,1207.0,651.0,736.0
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,1455.0,1652.0
Karim Rekik,Hertha BSC,Innenverteidiger,24.0,2198.0,1032.0,1172.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,1031.0,1171.0
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17.0,1499.0,880.0,1001.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,2603.0,1262.0,1436.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,918.0,1046.0
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21.0,1393.0,796.0,909.0
Andre Hoffmann,Fortuna Düsseldorf,Innenverteidiger,13.0,1131.0,431.0,493.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,1023.0,1175.0
Arne Maier,Hertha BSC,Defensives Mittelfeld,24.0,2187.0,1027.0,1189.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,1571.0,1821.0
