Players,Values
Luís Figo,£54.00m
Hernán Crespo,£51.13m
Marc Overmars,£36.00m
Gabriel Batistuta,£32.54m
Nicolas Anelka,£31.05m
Rio Ferdinand,£23.40m
Flávio Conceição,£22.50m
Savo Milosevic,£22.50m
David Trézéguet,£20.92m
Claudio López,£20.70m
Jimmy Floyd Hasselbaink,£20.25m
Gerard López,£19.44m
Lucas,£19.17m
Pablo Aimar,£19.13m
Wálter Samuel,£18.72m
Shabani Nonda,£18.00m
Robbie Keane,£17.55m
José Mari,£17.10m
Jonathan Zebina,£16.56m
Émerson,£16.20m
Tore André Flo,£16.20m
Serhii Rebrov,£16.20m
Angelo Peruzzi,£16.11m
Diego Tristán,£15.98m
Sylvain Wiltord,£15.75m
