Name,Verein,Position,Einsatz,SpielMinuten,ShotOnTarget,TotalShots
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,5.0,8.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,5.0,8.0
Kingsley Coman,FC Bayern München,Linke Außenbahn,21.0,1441.0,19.0,31.0
Florian Niederlechner,SC Freiburg,Stürmer,24.0,1006.0,18.0,31.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,1781.0,16.0,28.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,10.0,18.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31.0,2077.0,31.0,56.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,22.0,40.0
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,6.0,11.0
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,6.0,11.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,13.0,24.0
Paco Alcácer,Borussia Dortmund,Stürmer,26.0,1338.0,28.0,52.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,7.0,13.0
James,FC Bayern München,Offensives Mittelfeld,20.0,1200.0,19.0,36.0
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,10.0,19.0
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34.0,2983.0,45.0,87.0
Breel Embolo,FC Schalke 04,Stürmer,20.0,1411.0,13.0,26.0
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,13.0,26.0
Kevin Möhwald,SV Werder Bremen,Zentrales Mittelfeld,23.0,984.0,10.0,20.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,10.0,20.0
Bobby Wood,Hannover 96,Stürmer,20.0,1273.0,9.0,18.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,5.0,10.0
Alassane Plea,B. Mönchengladbach,Stürmer,34.0,2640.0,41.0,83.0
Serge Gnabry,FC Bayern München,Linke Außenbahn,30.0,1887.0,32.0,65.0
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,2463.0,34.0,70.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,42.0,87.0
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,26.0,54.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,13.0,27.0
