Name Verein Position Einsatz Spielminuten "Shot On Target"
"Paco Alcácer" "Borussia Dortmund" Stürmer 26 1338 28
"Ishak Belfodil" "TSG 1899 Hoffenheim" Stürmer 28 1982 36
"Luka Jovic" "Eintracht Frankfurt" Stürmer 32 2382 43
"Florian Niederlechner" "SC Freiburg" Stürmer 24 1006 18
"Andrej Kramaric" "TSG 1899 Hoffenheim" Stürmer 30 2548 44
"Serge Gnabry" "FC Bayern München" "Linke Außenbahn" 30 1887 32
"Gian-Luca Waldschmidt" "SC Freiburg" Stürmer 30 1830 30
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 51
James "FC Bayern München" "Offensives Mittelfeld" 20 1200 19
"Alassane Plea" "B. Mönchengladbach" Stürmer 34 2640 41
"Timo Werner" "RB Leipzig" Stürmer 30 2605 40
"Milot Rashica" "SV Werder Bremen" Stürmer 26 1631 25
"Marco Richter" "FC Augsburg" Stürmer 25 1510 23
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 45
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 31
"Benito Raman" "Fortuna Düsseldorf" "Rechte Außenbahn" 30 1792 26
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 34
"Karim Onisiwo" "1. FSV Mainz 05" "Rechte Außenbahn" 26 1236 17
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 42
"Max Kruse" "SV Werder Bremen" Stürmer 32 3018 41
"Ante Rebic" "Eintracht Frankfurt" Stürmer 28 2098 28
"Kingsley Coman" "FC Bayern München" "Linke Außenbahn" 21 1441 19
"Alfred Finnbogason" "FC Augsburg" Stürmer 18 1375 18
"Jean-Philippe Mateta" "1. FSV Mainz 05" Stürmer 34 2617 34
"Lucas Alario" "Bayer 04 Leverkusen" Stürmer 27 1375 16
"Ihlas Bebou" "Hannover 96" "Rechte Außenbahn" 12 1137 13
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 35
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 22
"Davie Selke" "Hertha BSC" Stürmer 30 1869 21
"Ádám Szalai" "TSG 1899 Hoffenheim" Stürmer 30 1787 20
"Vedad Ibisevic" "Hertha BSC" Stürmer 28 1878 21
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 26
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 23
"Guido Burgstaller" "FC Schalke 04" Stürmer 24 1643 18
"Niclas Füllkrug" "Hannover 96" Stürmer 14 1195 13
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 27
"Hendrik Weydandt" "Hannover 96" Stürmer 28 1847 20
"Emil Forsberg" "RB Leipzig" "Linke Außenbahn" 20 1305 14
Joelinton "TSG 1899 Hoffenheim" Stürmer 28 2268 24
"Marko Grujic" "Hertha BSC" "Zentrales Mittelfeld" 22 1907 20
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 27
"Daniel Ginczek" "VfL Wolfsburg" Stürmer 24 1373 14
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 22
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 10
"Lucas Höler" "SC Freiburg" Stürmer 26 1083 11
"Johannes Eggestein" "SV Werder Bremen" Stürmer 23 1194 12
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 15
"Anastasios Donis" "VfB Stuttgart" Stürmer 24 1017 10
"Daniel Didavi" "VfB Stuttgart" "Offensives Mittelfeld" 20 1027 10
"Karim Bellarabi" "Bayer 04 Leverkusen" "Rechte Außenbahn" 19 1131 11
"Christian Pulisic" "Borussia Dortmund" "Rechte Außenbahn" 20 1030 10
