Name Verein Position Einsatz SpielMinuten "Successful Tackles" "Total Tackles"
"Dan-Axel Zagadou" "Borussia Dortmund" Innenverteidiger 17 1361 10 14
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 54 80
Ewerton "1. FC Nürnberg" Innenverteidiger 18 1449 20 30
"Niklas Süle" "FC Bayern München" Innenverteidiger 31 2831 23 35
"Jordan Torunarigha" "Hertha BSC" Innenverteidiger 14 1233 28 43
"Marvin Plattenhardt" "Hertha BSC" Linksverteidiger 22 2040 22 35
"D. Upamecano" "RB Leipzig" Innenverteidiger 15 1369 15 24
"Anastasios Donis" "VfB Stuttgart" Stürmer 24 1017 13 21
"Bastian Oczipka" "FC Schalke 04" Linksverteidiger 21 2015 27 45
"Bobby Wood" "Hannover 96" Stürmer 20 1273 9 15
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 67 112
"Marcin Kaminski" "Fortuna Düsseldorf" Innenverteidiger 27 2581 13 22
"Timo Baumgartl" "VfB Stuttgart" Innenverteidiger 18 1709 23 39
"Jeffrey Gouweleeuw" "FC Augsburg" Innenverteidiger 25 2243 33 56
"Manuel Gulde" "SC Freiburg" Innenverteidiger 21 1840 17 29
"Karim Onisiwo" "1. FSV Mainz 05" "Rechte Außenbahn" 26 1236 17 29
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 33 57
"Ibrahima Konaté" "RB Leipzig" Innenverteidiger 28 2581 32 56
"Breel Embolo" "FC Schalke 04" Stürmer 20 1411 17 30
"Stefan Posch" "TSG 1899 Hoffenheim" Innenverteidiger 17 1499 30 53
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 61 108
"Tony Jantschke" "B. Mönchengladbach" Rechtsverteidiger 14 993 9 16
"Guido Burgstaller" "FC Schalke 04" Stürmer 24 1643 9 16
"Adam Zrelák" "1. FC Nürnberg" Stürmer 14 1019 10 18
"Javairo Dilrosun" "Hertha BSC" "Linke Außenbahn" 17 997 10 18
"Ondrej Petrák" "1. FC Nürnberg" "Defensives Mittelfeld" 22 1737 27 49
"Karim Rekik" "Hertha BSC" Innenverteidiger 24 2198 22 40
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 20 37
"Nordi Mukiele" "RB Leipzig" Rechtsverteidiger 19 1300 21 39
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 29 54
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 30 56
"Rani Khedira" "FC Augsburg" "Defensives Mittelfeld" 30 2800 39 73
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 16 30
"Salif Sané" "FC Schalke 04" Innenverteidiger 30 2824 38 72
"Aleksandar Dragovic" "Bayer 04 Leverkusen" Innenverteidiger 18 1443 11 21
"Georg Margreitter" "1. FC Nürnberg" Innenverteidiger 27 2206 24 46
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 25 48
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 30 58
"Sebastian Langkamp" "SV Werder Bremen" Innenverteidiger 21 1520 16 31
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 35 68
"Robin Knoche" "VfL Wolfsburg" Innenverteidiger 32 2986 20 39
"Abdou Diallo" "Borussia Dortmund" Innenverteidiger 28 2554 21 41
"Lukas Kübler" "SC Freiburg" Rechtsverteidiger 16 1264 22 43
"Matija Nastasic" "FC Schalke 04" Innenverteidiger 28 2636 24 47
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 34 67
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 20 40
"Lucas Höler" "SC Freiburg" Stürmer 26 1083 16 32
Felipe "Hannover 96" Innenverteidiger 17 1173 15 30
"Kevin Danso" "FC Augsburg" Innenverteidiger 18 1346 14 28
"Ádám Szalai" "TSG 1899 Hoffenheim" Stürmer 30 1787 13 26
"Ihlas Bebou" "Hannover 96" "Rechte Außenbahn" 12 1137 9 18
"Makoto Hasebe" "Eintracht Frankfurt" Innenverteidiger 28 2697 34 69
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 31 63
Wendell "Bayer 04 Leverkusen" Linksverteidiger 28 2426 48 98
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 24 49
"Manuel Akanji" "Borussia Dortmund" Innenverteidiger 25 2371 20 41
"Marcel Sobottka" "Fortuna Düsseldorf" "Defensives Mittelfeld" 14 1004 19 39
"Lukasz Piszczek" "Borussia Dortmund" Rechtsverteidiger 20 1876 36 74
"Tin Jedvaj" "Bayer 04 Leverkusen" Innenverteidiger 16 1208 15 31
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 13 27
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 25 52
"Milos Veljkovic" "SV Werder Bremen" Innenverteidiger 23 2010 23 48
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 43 90
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 29 61
"Sven Bender" "Bayer 04 Leverkusen" Innenverteidiger 27 2123 25 53
"Marko Grujic" "Hertha BSC" "Zentrales Mittelfeld" 22 1907 33 70
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 57 121
"Stefan Ilsanker" "RB Leipzig" "Defensives Mittelfeld" 19 1010 16 34
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 16 34
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 46 98
"Theodor Gebre Selassie" "SV Werder Bremen" Rechtsverteidiger 32 3018 38 81
"Jérôme Boateng" "FC Bayern München" Innenverteidiger 20 1798 15 32
"Ermin Bicakcic" "TSG 1899 Hoffenheim" Innenverteidiger 25 1920 19 41
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 31 67
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 24 52
"Matheus Pereira" "1. FC Nürnberg" "Rechte Außenbahn" 19 1311 12 26
"Lukas Mühl" "1. FC Nürnberg" Innenverteidiger 31 2972 35 76
"Kevin Wimmer" "Hannover 96" Innenverteidiger 22 1820 17 37
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 44 96
"Robert Bauer" "1. FC Nürnberg" Rechtsverteidiger 22 1816 31 68
"Daniel Didavi" "VfB Stuttgart" "Offensives Mittelfeld" 20 1027 15 33
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 28 62
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 14 31
"Kenan Karaman" "Fortuna Düsseldorf" "Linke Außenbahn" 21 1007 9 20
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 49 109
"Adam Bodzek" "Fortuna Düsseldorf" "Defensives Mittelfeld" 21 1678 31 69
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 13 29
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 63 141
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 20 45
"Robin Quaison" "1. FSV Mainz 05" Stürmer 28 2323 12 27
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 27 61
"Ozan Kabak" "VfB Stuttgart" Innenverteidiger 15 1431 19 43
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 11 25
"Oliver Sorg" "Hannover 96" Rechtsverteidiger 19 1679 29 66
"Lukas Klostermann" "RB Leipzig" Rechtsverteidiger 26 2141 29 66
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 35 80
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 21 48
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 41 94
"Pascal Stenzel" "SC Freiburg" Rechtsverteidiger 21 1542 26 60
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 42 97
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 16 37
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 47 109
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 50 116
"Benjamin Stambouli" "FC Schalke 04" Innenverteidiger 21 1902 31 72
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 37 86
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 48 112
"Evan N'Dicka" "Eintracht Frankfurt" Innenverteidiger 27 2483 27 63
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 24 56
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 9 21
"Christian Pulisic" "Borussia Dortmund" "Rechte Außenbahn" 20 1030 6 14
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 37 87
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 31 73
