Name Verein Position Einsatz SpielMinuten torschussvorlagen
James "FC Bayern München" "Offensives Mittelfeld" 20 1200 51
"Kerem Demirbay" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 26 2132 76
"Julian Brandt" "Bayer 04 Leverkusen" "Linke Außenbahn" 33 2823 85
"Emil Forsberg" "RB Leipzig" "Linke Außenbahn" 20 1305 38
"Daniel Didavi" "VfB Stuttgart" "Offensives Mittelfeld" 20 1027 28
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 81
"Max Kruse" "SV Werder Bremen" Stürmer 32 3018 73
"Vincenzo Grifo" "SC Freiburg" "Linke Außenbahn" 23 1868 45
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 54
"Thorgan Hazard" "B. Mönchengladbach" "Rechte Außenbahn" 33 3035 71
"Jadon Sancho" "Borussia Dortmund" "Linke Außenbahn" 34 2644 61
"Raphaël Guerreiro" "Borussia Dortmund" Linksverteidiger 23 1633 37
"Bastian Oczipka" "FC Schalke 04" Linksverteidiger 21 2015 45
"Leon Bailey" "Bayer 04 Leverkusen" "Linke Außenbahn" 29 2018 45
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 55
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 60
"Karim Bellarabi" "Bayer 04 Leverkusen" "Rechte Außenbahn" 19 1131 25
"Mario Götze" "Borussia Dortmund" "Offensives Mittelfeld" 26 1781 39
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 55
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 32
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 58
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 35
"Admir Mehmedi" "VfL Wolfsburg" Stürmer 26 1786 37
"Kevin Kampl" "RB Leipzig" "Zentrales Mittelfeld" 27 2212 45
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 24
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 62
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 59
"Kingsley Coman" "FC Bayern München" "Linke Außenbahn" 21 1441 28
"Sebastian Kerk" "1. FC Nürnberg" "Linke Außenbahn" 21 1246 24
"Amine Harit" "FC Schalke 04" "Offensives Mittelfeld" 18 1152 21
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 53
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 45
"Milot Rashica" "SV Werder Bremen" Stürmer 26 1631 29
"Andrej Kramaric" "TSG 1899 Hoffenheim" Stürmer 30 2548 45
"Enrico Valentini" "1. FC Nürnberg" Rechtsverteidiger 15 1373 24
"Leonardo Bittencourt" "TSG 1899 Hoffenheim" "Linke Außenbahn" 21 1146 20
"Pirmin Schwegler" "Hannover 96" "Defensives Mittelfeld" 27 2182 38
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 40
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 44
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 33
Joelinton "TSG 1899 Hoffenheim" Stürmer 28 2268 37
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 29
"Ante Rebic" "Eintracht Frankfurt" Stürmer 28 2098 34
"Franck Ribéry" "FC Bayern München" "Linke Außenbahn" 25 1308 21
"Marvin Plattenhardt" "Hertha BSC" Linksverteidiger 22 2040 32
"Christian Pulisic" "Borussia Dortmund" "Rechte Außenbahn" 20 1030 16
"Karim Onisiwo" "1. FSV Mainz 05" "Rechte Außenbahn" 26 1236 19
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 47
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 37
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 38
"Maximilian Arnold" "VfL Wolfsburg" "Zentrales Mittelfeld" 33 3047 45
"Alfred Finnbogason" "FC Augsburg" Stürmer 18 1375 20
"Ondrej Duda" "Hertha BSC" "Offensives Mittelfeld" 32 2687 39
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 39
"Filip Kostic" "Eintracht Frankfurt" "Linke Außenbahn" 34 3158 45
"Jérôme Gondorf" "SC Freiburg" "Zentrales Mittelfeld" 25 1404 20
"Marcel Sabitzer" "RB Leipzig" "Rechte Außenbahn" 30 2492 35
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 28
"Dennis Aogo" "VfB Stuttgart" Linksverteidiger 15 1069 15
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 40
"Lars Stindl" "B. Mönchengladbach" Stürmer 21 1585 22
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 27
"Serge Gnabry" "FC Bayern München" "Linke Außenbahn" 30 1887 26
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 32
"Ádám Szalai" "TSG 1899 Hoffenheim" Stürmer 30 1787 24
"Josip Brekalo" "VfL Wolfsburg" "Linke Außenbahn" 25 1515 20
"Ihlas Bebou" "Hannover 96" "Rechte Außenbahn" 12 1137 15
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 43
"Alexander Esswein" "VfB Stuttgart" "Rechte Außenbahn" 17 1303 17
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 28
"Kenan Karaman" "Fortuna Düsseldorf" "Linke Außenbahn" 21 1007 13
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 29
"Alessandro Schöpf" "FC Schalke 04" "Offensives Mittelfeld" 15 1093 14
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 38
"André Hahn" "FC Augsburg" "Rechte Außenbahn" 28 2207 28
"Timo Werner" "RB Leipzig" Stürmer 30 2605 33
"Ishak Belfodil" "TSG 1899 Hoffenheim" Stürmer 28 1982 25
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 37
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 17
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 28
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 27
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 38
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 36
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 21
"Javairo Dilrosun" "Hertha BSC" "Linke Außenbahn" 17 997 12
"Gian-Luca Waldschmidt" "SC Freiburg" Stürmer 30 1830 22
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 31
"Hendrik Weydandt" "Hannover 96" Stürmer 28 1847 22
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 31
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 27
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 12
"Alassane Plea" "B. Mönchengladbach" Stürmer 34 2640 31
"Benito Raman" "Fortuna Düsseldorf" "Rechte Außenbahn" 30 1792 21
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 25
"Salomon Kalou" "Hertha BSC" "Linke Außenbahn" 30 2429 28
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 26
"Breel Embolo" "FC Schalke 04" Stürmer 20 1411 16
"Marco Richter" "FC Augsburg" Stürmer 25 1510 17
"Paco Alcácer" "Borussia Dortmund" Stürmer 26 1338 15
"Yuya Osako" "SV Werder Bremen" Stürmer 21 1435 16
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 34
"Linton Maina" "Hannover 96" "Linke Außenbahn" 20 1460 16
"Lucas Alario" "Bayer 04 Leverkusen" Stürmer 27 1375 15
"Niclas Füllkrug" "Hannover 96" Stürmer 14 1195 13
"Mijat Gacinovic" "Eintracht Frankfurt" "Offensives Mittelfeld" 29 1760 19
"Matheus Pereira" "1. FC Nürnberg" "Rechte Außenbahn" 19 1311 14
"Lukasz Piszczek" "Borussia Dortmund" Rechtsverteidiger 20 1876 20
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 27
"Luka Jovic" "Eintracht Frankfurt" Stürmer 32 2382 25
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 28
"Pascal Stenzel" "SC Freiburg" Rechtsverteidiger 21 1542 16
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 20
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 20
"Nuri Sahin" "SV Werder Bremen" "Defensives Mittelfeld" 20 1545 16
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 32
"Mario Gomez" "VfB Stuttgart" Stürmer 31 2344 24
"Davie Selke" "Hertha BSC" Stürmer 30 1869 19
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 33
"Nicolai Müller" "Hannover 96" "Rechte Außenbahn" 21 1185 12
"Steven Zuber" "VfB Stuttgart" "Linke Außenbahn" 22 1706 17
"Mikael Ishak" "1. FC Nürnberg" Stürmer 29 2030 20
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 19
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 18
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 17
"Jean-Philippe Mateta" "1. FSV Mainz 05" Stürmer 34 2617 25
"Michael Gregoritsch" "FC Augsburg" "Offensives Mittelfeld" 32 2633 25
"Niko Gießelmann" "Fortuna Düsseldorf" Linksverteidiger 30 2764 26
"Julian Korb" "Hannover 96" Rechtsverteidiger 12 1070 10
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 27
"Johannes Eggestein" "SV Werder Bremen" Stürmer 23 1194 11
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 19
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 9
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 19
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 13
"Sebastian Rudy" "FC Schalke 04" "Defensives Mittelfeld" 21 1455 13
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 14
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 21
"Daniel Ginczek" "VfL Wolfsburg" Stürmer 24 1373 12
"Nordi Mukiele" "RB Leipzig" Rechtsverteidiger 19 1300 11
"Lukas Klostermann" "RB Leipzig" Rechtsverteidiger 26 2141 18
"Marko Grujic" "Hertha BSC" "Zentrales Mittelfeld" 22 1907 16
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 26
"Andreas Beck" "VfB Stuttgart" Rechtsverteidiger 24 1872 15
"Vedad Ibisevic" "Hertha BSC" Stürmer 28 1878 15
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 12
"Florian Niederlechner" "SC Freiburg" Stürmer 24 1006 8
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 16
"Bobby Wood" "Hannover 96" Stürmer 20 1273 10
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 17
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 15
"Robin Quaison" "1. FSV Mainz 05" Stürmer 28 2323 18
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 16
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 20
"Eduard Löwen" "1. FC Nürnberg" "Zentrales Mittelfeld" 22 1717 13
"Per Skjelbred" "Hertha BSC" "Defensives Mittelfeld" 16 1059 8
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 16
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 21
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 16
"Lucas Höler" "SC Freiburg" Stürmer 26 1083 8
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 20
"Theodor Gebre Selassie" "SV Werder Bremen" Rechtsverteidiger 32 3018 21
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 16
"Mats Hummels" "FC Bayern München" Innenverteidiger 21 1873 13
"Adam Zrelák" "1. FC Nürnberg" Stürmer 14 1019 7
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 8
"Robert Bauer" "1. FC Nürnberg" Rechtsverteidiger 22 1816 12
Wendell "Bayer 04 Leverkusen" Linksverteidiger 28 2426 16
"Suat Serdar" "FC Schalke 04" "Zentrales Mittelfeld" 26 1831 12
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 8
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 12
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 11
"Daniel Baier" "FC Augsburg" "Defensives Mittelfeld" 33 2980 19
"Yuya Kubo" "1. FC Nürnberg" Stürmer 22 1430 9
"Tobias Strobl" "B. Mönchengladbach" "Defensives Mittelfeld" 29 2431 15
