Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet
Robert Lewandowski,FC Bayern München,Mittelstürmer,33.0,30,10,3.0,22.0,Polen
Paco Alcácer,Borussia Dortmund,Mittelstürmer,26.0,25,0,1.0,18.0,Spanien
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,29,11,3.0,17.0,Deutschland
Wout Weghorst,VfL Wolfsburg,Mittelstürmer,34.0,26,7,4.0,17.0,Niederlande
Luka Jovic,Eintracht Frankfurt,Mittelstürmer,32.0,21,6,1.0,17.0,Serbien
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,19,4,3.0,17.0,Deutschland
Andrej Kramaric,TSG 1899 Hoffenheim,Mittelstürmer,30.0,27,4,5.0,17.0,Kroatien
Timo Werner,RasenBallsport Leipzig,Mittelstürmer,30.0,23,9,0.0,16.0,Deutschland
Ishak Belfodil,TSG 1899 Hoffenheim,Mittelstürmer,28.0,27,5,0.0,16.0,Algerien & Frankreich
Sébastien Haller,Eintracht Frankfurt,Mittelstürmer,29.0,24,9,3.0,15.0,Frankreich & Elfenbeinküste
Yussuf Poulsen,RasenBallsport Leipzig,Mittelstürmer,31.0,24,4,0.0,15.0,Dänemark & Tansania
Kevin Volland,Bayer 04 Leverkusen,Mittelstürmer,34.0,26,12,0.0,14.0,Deutschland
Jean-Philippe Mateta,1.FSV Mainz 05,Mittelstürmer,34.0,21,3,0.0,14.0,Frankreich & DR Kongo
Jadon Sancho,Borussia Dortmund,Rechtsaußen,34.0,19,17,0.0,12.0,England
Alassane Plea,Borussia Mönchengladbach,Mittelstürmer,34.0,26,4,0.0,12.0,Frankreich & Mali
Max Kruse,SV Werder Bremen,Mittelstürmer,32.0,31,10,3.0,11.0,Deutschland
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,24,6,0.0,11.0,Slowakei
Thorgan Hazard,Borussia Mönchengladbach,Linksaußen,33.0,26,11,3.0,10.0,Belgien
Serge Gnabry,FC Bayern München,Rechtsaußen,30.0,23,7,0.0,10.0,Deutschland & Elfenbeinküste
Dodi Lukebakio,Fortuna Düsseldorf,Rechtsaußen,31.0,21,4,4.0,10.0,Belgien & DR Kongo
Benito Raman,Fortuna Düsseldorf,Linksaußen,30.0,24,4,0.0,10.0,Belgien
Vedad Ibisevic,Hertha BSC,Mittelstürmer,28.0,34,3,1.0,10.0,Bosnien-Herzegowina & Vereinigte Staaten
Nils Petersen,SC Freiburg,Mittelstürmer,24.0,30,3,1.0,10.0,Deutschland
Alfred Finnbogason,FC Augsburg,Mittelstürmer,18.0,30,2,4.0,10.0,Island
Milot Rashica,SV Werder Bremen,Linksaußen,26.0,22,5,1.0,9.0,Kosovo & Albanien
Ante Rebic,Eintracht Frankfurt,Hängende Spitze,28.0,25,4,0.0,9.0,Kroatien
Luca Waldschmidt,SC Freiburg,Mittelstürmer,30.0,22,3,3.0,9.0,Deutschland
Lucas Alario,Bayer 04 Leverkusen,Mittelstürmer,27.0,26,3,0.0,9.0,Argentinien & Italien
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,24,5,0.0,8.0,Deutschland
Salomon Kalou,Hertha BSC,Linksaußen,30.0,33,3,3.0,8.0,Elfenbeinküste
Julian Brandt,Bayer 04 Leverkusen,Linksaußen,33.0,23,14,0.0,7.0,Deutschland
Joelinton,TSG 1899 Hoffenheim,Mittelstürmer,28.0,22,7,0.0,7.0,Brasilien
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,26,7,0.0,7.0,Deutschland
Vincenzo Grifo,Spiel für mehrere Vereine,Linksaußen,23.0,26,6,2.0,7.0,Italien & Deutschland
Daniel Caligiuri,FC Schalke 04,Rechtes Mittelfeld,31.0,31,5,4.0,7.0,Italien & Deutschland
Rouwen Hennings,Fortuna Düsseldorf,Mittelstürmer,29.0,31,5,1.0,7.0,Deutschland
James Rodríguez,FC Bayern München,Offensives Mittelfeld,20.0,27,4,0.0,7.0,Kolumbien & Spanien
Robin Quaison,1.FSV Mainz 05,Hängende Spitze,28.0,25,3,0.0,7.0,Schweden & Ghana
Karim Onisiwo,1.FSV Mainz 05,Linksaußen,26.0,27,3,0.0,7.0,Österreich
Mario Gómez,VfB Stuttgart,Mittelstürmer,31.0,33,2,0.0,7.0,Deutschland & Spanien
Reiss Nelson,TSG 1899 Hoffenheim,Rechtsaußen,23.0,19,1,0.0,7.0,England & Simbabwe
Thomas Müller,FC Bayern München,Hängende Spitze,32.0,29,12,0.0,6.0,Deutschland
Filip Kostic,Eintracht Frankfurt,Linkes Mittelfeld,34.0,26,11,0.0,6.0,Serbien
Admir Mehmedi,VfL Wolfsburg,Hängende Spitze,26.0,28,7,0.0,6.0,Schweiz & Nordmazedonien
Ádám Szalai,TSG 1899 Hoffenheim,Mittelstürmer,30.0,31,5,0.0,6.0,Ungarn
Kingsley Coman,FC Bayern München,Linksaußen,21.0,22,5,0.0,6.0,Frankreich & Guadeloupe
Franck Ribéry,FC Bayern München,Linksaußen,25.0,36,4,0.0,6.0,Frankreich
Daniel Ginczek,VfL Wolfsburg,Mittelstürmer,24.0,28,4,0.0,6.0,Deutschland
Michael Gregoritsch,FC Augsburg,Hängende Spitze,32.0,25,2,1.0,6.0,Österreich
Hendrik Weydandt,Hannover 96,Mittelstürmer,28.0,23,2,0.0,6.0,Deutschland
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,22,5,0.0,5.0,Deutschland
Davy Klaassen,SV Werder Bremen,Offensives Mittelfeld,33.0,26,5,0.0,5.0,Niederlande
Jonas Hofmann,Borussia Mönchengladbach,Zentrales Mittelfeld,27.0,26,5,1.0,5.0,Deutschland
Karim Bellarabi,Bayer 04 Leverkusen,Rechtsaußen,19.0,28,5,0.0,5.0,Deutschland & Marokko
Breel Embolo,FC Schalke 04,Mittelstürmer,20.0,22,4,0.0,5.0,Schweiz & Kamerun
Leon Bailey,Bayer 04 Leverkusen,Linksaußen,29.0,21,2,0.0,5.0,Jamaika
Claudio Pizarro,SV Werder Bremen,Mittelstürmer,26.0,40,2,0.0,5.0,Peru & Italien
Anastasios Donis,VfB Stuttgart,Mittelstürmer,24.0,22,2,0.0,5.0,Griechenland & England
Steven Zuber,Spiel für mehrere Vereine,Linkes Mittelfeld,22.0,27,2,1.0,5.0,Schweiz
Renato Steffen,VfL Wolfsburg,Rechtsaußen,31.0,27,1,0.0,5.0,Schweiz
Lukas Klostermann,RasenBallsport Leipzig,Rechter Verteidiger,26.0,22,1,0.0,5.0,Deutschland
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,23,1,0.0,5.0,Serbien
Nicolai Müller,Spiel für mehrere Vereine,Rechtsaußen,21.0,31,0,0.0,5.0,Deutschland
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,25,9,0.0,4.0,Deutschland & Türkei
Jean-Paul Boëtius,1.FSV Mainz 05,Offensives Mittelfeld,30.0,25,8,0.0,4.0,Niederlande & Suriname
Emil Forsberg,RasenBallsport Leipzig,Linksaußen,20.0,27,8,3.0,4.0,Schweden
Marco Richter,FC Augsburg,Linksaußen,25.0,21,6,0.0,4.0,Deutschland
Marcel Sabitzer,RasenBallsport Leipzig,Rechtsaußen,30.0,25,5,0.0,4.0,Österreich
André Hahn,FC Augsburg,Rechtsaußen,28.0,28,5,0.0,4.0,Deutschland
Philipp Max,FC Augsburg,Linker Verteidiger,30.0,25,4,0.0,4.0,Deutschland
Mikael Ishak,1.FC Nürnberg,Mittelstürmer,29.0,26,4,0.0,4.0,Schweden & Syrien
Christian Pulisic,Borussia Dortmund,Rechtsaußen,20.0,20,4,0.0,4.0,Vereinigte Staaten & Kroatien
Martin Harnik,SV Werder Bremen,Mittelstürmer,18.0,31,4,0.0,4.0,Österreich & Deutschland
Hanno Behrens,1.FC Nürnberg,Zentrales Mittelfeld,30.0,29,3,2.0,4.0,Deutschland
Ihlas Bebou,Hannover 96,Rechtsaußen,12.0,25,3,1.0,4.0,Togo & Deutschland
Johannes Eggestein,SV Werder Bremen,Rechtsaußen,23.0,21,2,0.0,4.0,Deutschland
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,30,1,0.0,4.0,Belgien & Martinique
Denis Zakaria,Borussia Mönchengladbach,Defensives Mittelfeld,31.0,22,1,0.0,4.0,Schweiz & DR Kongo
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,25,1,0.0,4.0,Deutschland & Tunesien
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,24,1,0.0,4.0,Türkei & Deutschland
Guido Burgstaller,FC Schalke 04,Mittelstürmer,24.0,30,1,0.0,4.0,Österreich
Florian Niederlechner,SC Freiburg,Mittelstürmer,24.0,28,1,0.0,4.0,Deutschland
Dong-won Ji,FC Augsburg,Mittelstürmer,14.0,27,1,0.0,4.0,Südkorea
Lucas Höler,SC Freiburg,Mittelstürmer,26.0,24,0,0.0,4.0,Deutschland
Willi Orban,RasenBallsport Leipzig,Innenverteidiger,24.0,26,0,0.0,4.0,Ungarn & Deutschland
Anthony Ujah,1.FSV Mainz 05,Mittelstürmer,22.0,28,0,0.0,4.0,Nigeria
Arjen Robben,FC Bayern München,Rechtsaußen,12.0,35,0,0.0,4.0,Niederlande
Dawid Kownacki,Fortuna Düsseldorf,Mittelstürmer,10.0,22,0,0.0,4.0,Polen
Florian Neuhaus,Borussia Mönchengladbach,Zentrales Mittelfeld,32.0,22,9,0.0,3.0,Deutschland
Davie Selke,Hertha BSC,Mittelstürmer,30.0,24,9,0.0,3.0,Deutschland
Valentino Lazaro,Hertha BSC,Rechtes Mittelfeld,31.0,23,7,0.0,3.0,Österreich
Jonathan Schmid,FC Augsburg,Rechter Verteidiger,28.0,28,7,0.0,3.0,Frankreich
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,27,6,0.0,3.0,Dänemark & Vereinigte Staaten
Marcel Halstenberg,RasenBallsport Leipzig,Linker Verteidiger,28.0,27,6,2.0,3.0,Deutschland
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,31,6,0.0,3.0,Niederlande & Kanada
Jérôme Roussillon,VfL Wolfsburg,Linker Verteidiger,28.0,26,6,0.0,3.0,Frankreich & Guadeloupe
Daniel Brosinski,1.FSV Mainz 05,Rechter Verteidiger,26.0,30,6,3.0,3.0,Deutschland
Pavel Kaderabek,TSG 1899 Hoffenheim,Rechter Verteidiger,29.0,27,4,0.0,3.0,Tschechien
