Name,Value
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Robert Lewandowski,65.0
Timo Werner,65.0
Christian Pulisic,60.0
Serge Gnabry,60.0
Luka Jovic,60.0
Niklas Süle,60.0
David Alaba,55.0
Leon Goretzka,50.0
Kingsley Coman,50.0
Marco Reus,50.0
James Rodríguez,50.0
Julian Brandt,50.0
Ibrahima Konaté,45.0
Corentin Tolisso,40.0
Jonathan Tah,40.0
Ante Rebic,40.0
Leon Bailey,40.0
Sébastien Haller,40.0
Manuel Akanji,40.0
Andrej Kramaric,38.0
Thorgan Hazard,38.0
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Timo Werner,65.0
Paco Alcácer,37.0
Thomas Müller,35.0
Matthias Ginter,35.0
Mats Hummels,35.0
Yussuf Poulsen,35.0
Joelinton,35.0
Abdou Diallo,35.0
Kerem Demirbay,32.0
Axel Witsel,32.0
Benjamin Pavard,30.0
Alassane Plea,30.0
Dayot Upamecano,30.0
Achraf Hakimi,30.0
Lukas Klostermann,30.0
Maximilian Eggestein,30.0
Nico Elvedi,30.0
Kevin Volland,30.0
Jean-Philippe Gbamin,28.0
Dan-Axel Zagadou,28.0
Javi Martínez,27.0
Thomas Delaney,27.0
Emil Forsberg,25.0
Mario Götze,25.0
Raphaël Guerreiro,25.0
Nico Schulz,25.0
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Timo Werner,65.0
Evan N'Dicka,25.0
Marcel Sabitzer,25.0
Julian Weigl,25.0
Arne Maier,24.0
Kevin Kampl,22.0
Jean-Philippe Mateta,22.0
Filip Kostic,22.0
Davy Klaassen,22.0
Florian Neuhaus,22.0
Florian Grillitsch,22.0
Marcel Halstenberg,22.0
Marko Grujic,20.0
Wout Weghorst,20.0
Milot Rashica,20.0
Wendell,20.0
Denis Zakaria,20.0
Weston McKennie,20.0
Willi Orban,20.0
Jérôme Roussillon,20.0
Amadou Haidara,20.0
Pavel Kaderabek,20.0
Jérôme Boateng,20.0
Aarón Martín,20.0
Niklas Stark,20.0
Matija Nastasic,18.0
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Timo Werner,65.0
Renato Sanches,18.0
Manuel Neuer,18.0
Dodi Lukebakio,18.0
Davie Selke,18.0
Nadiem Amiri,17.0
Ondrej Duda,17.0
Valentino Lazaro,17.0
Diego Demme,17.0
Reiss Nelson,17.0
Philipp Max,17.0
Lucas Alario,17.0
Konrad Laimer,17.0
Jean-Kévin Augustin,16.0
Martin Hinteregger,16.0
Karim Bellarabi,15.0
Ozan Kabak,15.0
Paulinho,15.0
Ishak Belfodil,15.0
Jacob Bruun Larsen,15.0
Maximilian Arnold,15.0
Karim Rekik,15.0
Charles Aránguiz,15.0
John Anthony Brooks,15.0
Matheus Cunha,15.0
Nordi Mukiele,15.0
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Timo Werner,65.0
Danny da Costa,15.0
