Name,Verein,Position,Einsatz,SpielMinuten,GewonneneZweikaempfe,GesamteZweikaempfe
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,2824.0,217.0,307.0
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,95.0,138.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,117.0,171.0
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,1840.0,76.0,113.0
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,61.0,91.0
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,120.0,180.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,76.0,115.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,128.0,195.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,150.0,229.0
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,189.0,289.0
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,94.0,145.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,109.0,170.0
Tony Jantschke,B. Mönchengladbach,Rechtsverteidiger,14.0,993.0,57.0,89.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,113.0,177.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,120.0,188.0
Willi Orban,RB Leipzig,Innenverteidiger,24.0,2167.0,190.0,301.0
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,217.0,345.0
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,145.0,232.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,167.0,269.0
Karim Rekik,Hertha BSC,Innenverteidiger,24.0,2198.0,111.0,179.0
Alexander Hack,1. FSV Mainz 05,Innenverteidiger,14.0,1084.0,87.0,141.0
Sven Bender,Bayer 04 Leverkusen,Innenverteidiger,27.0,2123.0,132.0,215.0
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,81.0,132.0
Ondrej Petrák,1. FC Nürnberg,Defensives Mittelfeld,22.0,1737.0,103.0,169.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,170.0,280.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,1920.0,101.0,167.0
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,1996.0,110.0,182.0
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28.0,2697.0,119.0,197.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,134.0,222.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,187.0,310.0
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,76.0,126.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,2603.0,126.0,209.0
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,65.0,108.0
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,113.0,188.0
D. Upamecano,RB Leipzig,Innenverteidiger,15.0,1369.0,78.0,130.0
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27.0,2581.0,75.0,125.0
Moussa Niakhaté,1. FSV Mainz 05,Innenverteidiger,33.0,2975.0,149.0,249.0
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21.0,1393.0,95.0,159.0
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,86.0,144.0
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16.0,1264.0,83.0,139.0
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27.0,2522.0,108.0,181.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,211.0,357.0
Oliver Sorg,Hannover 96,Rechtsverteidiger,19.0,1679.0,92.0,156.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,140.0,238.0
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,70.0,119.0
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,87.0,148.0
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26.0,2141.0,111.0,189.0
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25.0,1929.0,147.0,251.0
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32.0,2986.0,127.0,217.0
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,100.0,171.0
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,162.0,278.0
Adam Bodzek,Fortuna Düsseldorf,Defensives Mittelfeld,21.0,1678.0,120.0,206.0
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29.0,2759.0,131.0,225.0
Felipe,Hannover 96,Innenverteidiger,17.0,1173.0,72.0,124.0
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,69.0,119.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,153.0,264.0
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,121.0,209.0
David Alaba,FC Bayern München,Linksverteidiger,31.0,2688.0,94.0,163.0
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,152.0,264.0
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,2427.0,157.0,273.0
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,71.0,124.0
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,102.0,179.0
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,81.0,143.0
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,108.0,191.0
Lars Bender,Bayer 04 Leverkusen,Rechtsverteidiger,20.0,1428.0,114.0,202.0
Dennis Aogo,VfB Stuttgart,Linksverteidiger,15.0,1069.0,37.0,66.0
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17.0,1499.0,95.0,171.0
Florian Grillitsch,TSG 1899 Hoffenheim,Zentrales Mittelfeld,30.0,2571.0,191.0,344.0
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,151.0,272.0
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,112.0,202.0
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27.0,2182.0,146.0,264.0
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,152.0,275.0
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31.0,2972.0,117.0,213.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,1443.0,51.0,93.0
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,159.0,290.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,1666.0,75.0,137.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,88.0,161.0
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,3266.0,135.0,247.0
Matheus Pereira,1. FC Nürnberg,Rechte Außenbahn,19.0,1311.0,109.0,200.0
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22.0,1816.0,85.0,156.0
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,87.0,160.0
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,91.0,168.0
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,135.0,250.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,97.0,180.0
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,123.0,229.0
Nicolas Höfler,SC Freiburg,Defensives Mittelfeld,18.0,1719.0,103.0,192.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,165.0,308.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,1233.0,76.0,142.0
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,92.0,172.0
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,123.0,230.0
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,94.0,176.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,110.0,206.0
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,1152.0,107.0,201.0
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,161.0,303.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,180.0,339.0
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,114.0,215.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,177.0,334.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,154.0,291.0
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,118.0,223.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,110.0,208.0
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,2010.0,92.0,174.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,177.0,335.0
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,153.0,290.0
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,137.0,260.0
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,225.0,428.0
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,199.0,379.0
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25.0,2243.0,105.0,200.0
Arne Maier,Hertha BSC,Defensives Mittelfeld,24.0,2187.0,89.0,170.0
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,3278.0,167.0,319.0
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,285.0,546.0
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16.0,1208.0,60.0,115.0
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,85.0,163.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,231.0,445.0
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,201.0,389.0
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,2483.0,125.0,242.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,2800.0,142.0,275.0
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,75.0,146.0
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,1027.0,68.0,133.0
Philipp Bargfrede,SV Werder Bremen,Defensives Mittelfeld,15.0,1128.0,70.0,137.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,96.0,188.0
Per Skjelbred,Hertha BSC,Defensives Mittelfeld,16.0,1059.0,56.0,110.0
Kevin Wimmer,Hannover 96,Innenverteidiger,22.0,1820.0,59.0,116.0
Kingsley Coman,FC Bayern München,Linke Außenbahn,21.0,1441.0,122.0,240.0
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15.0,997.0,46.0,91.0
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,113.0,224.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,154.0,308.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,145.0,290.0
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,1545.0,103.0,206.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,95.0,190.0
Vincenzo Grifo,SC Freiburg,Linke Außenbahn,23.0,1868.0,90.0,180.0
Kenan Karaman,Fortuna Düsseldorf,Linke Außenbahn,21.0,1007.0,76.0,152.0
Thomas Müller,FC Bayern München,Rechte Außenbahn,32.0,2483.0,136.0,273.0
Leonardo Bittencourt,TSG 1899 Hoffenheim,Linke Außenbahn,21.0,1146.0,83.0,167.0
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,72.0,145.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,88.0,178.0
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,83.0,168.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,152.0,308.0
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29.0,2018.0,112.0,227.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,90.0,183.0
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,189.0,386.0
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,162.0,331.0
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,41.0,84.0
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,70.0,144.0
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30.0,2835.0,104.0,214.0
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,155.0,319.0
Fabian Johnson,B. Mönchengladbach,Linke Außenbahn,18.0,1082.0,34.0,70.0
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27.0,2212.0,89.0,184.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,169.0,352.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31.0,2077.0,144.0,301.0
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,172.0,360.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,139.0,291.0
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24.0,1929.0,127.0,266.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,148.0,311.0
James,FC Bayern München,Offensives Mittelfeld,20.0,1200.0,46.0,97.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,82.0,173.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,111.0,235.0
Kevin Möhwald,SV Werder Bremen,Zentrales Mittelfeld,23.0,984.0,59.0,125.0
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,75.0,159.0
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,162.0,344.0
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,161.0,342.0
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,112.0,238.0
Marcel Sobottka,Fortuna Düsseldorf,Defensives Mittelfeld,14.0,1004.0,64.0,136.0
Wout Weghorst,VfL Wolfsburg,Stürmer,34.0,3098.0,195.0,415.0
Emil Forsberg,RB Leipzig,Linke Außenbahn,20.0,1305.0,65.0,139.0
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14.0,1073.0,41.0,88.0
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,150.0,322.0
Mario Gomez,VfB Stuttgart,Stürmer,31.0,2344.0,139.0,299.0
